Count,Title,Id,PageViews,URL,Song_Art_URL
0,100 Grandkids,2270199,376522,https://genius.com/Mac-miller-100-grandkids-lyrics,https://images.genius.com/f2c75e5f34f94ec77aa311b7e5f73226.1000x1000x1.jpg
1,10 Pints (Ft. Ab-Soul & Mac Miller),523542,,https://genius.com/Fre-h-short-dawg-10-pints-lyrics,https://images.rapgenius.com/cb38a82b351f4376cf01d2fb33328056.500x350x1.jpg
2,17 (Ft. Mac Miller),461981,,https://genius.com/Jfk-17-lyrics,https://images.genius.com/e7b75cadce904f4e04af2fa76c9f8610.1000x1000x1.jpg
3,1 Threw 8,69522,99188,https://genius.com/Mac-miller-1-threw-8-lyrics,https://images.genius.com/18b93aa441589ba982c97a6f8d7e0ccf.1000x1000x1.jpg
4,2009,7034404,,https://genius.com/Trevor-hall-2009-lyrics,https://images.genius.com/fd117c4d2ed886d4ea3c5e2cc92342f3.1000x1000x1.png
5,2009,4734764,,https://genius.com/Rayland-baxter-2009-lyrics,https://images.genius.com/04f8b8ea122c4d91935435dcb1dadec4.1000x1000x1.jpg
6,2009,3835477,820032,https://genius.com/Mac-miller-2009-lyrics,https://images.genius.com/0327e4a856f14b2430e6e1a9333b1f1f.1000x1000x1.jpg
7,"2012 BET Hip Hop Awards - Cypher 2 (Ft. Hopsin, Jaybird the Purdy Boi, Mac Miller & ScHoolboy Q)",92107,26670,https://genius.com/Bet-2012-bet-hip-hop-awards-cypher-2-lyrics,https://images.genius.com/c316a9129e7d68b7ee93c6deca20a3c7.400x400x1.jpg
8,21 & Over (Ft. Mac Miller & Sean Price),151612,14072,https://genius.com/Statik-selektah-21-and-over-lyrics,https://images.genius.com/8e1e0babc8569834e7e09a3f26a5929a.500x500x1.jpg
9,25/8,4905070,,https://genius.com/Mac-miller-25-8-lyrics,https://images.genius.com/1b5527bfa12acbee024077c12885086e.999x999x1.png
10,3rd Dimension,52061,9872,https://genius.com/Mac-miller-3rd-dimension-lyrics,https://images.genius.com/9fd1805cf7829d047a5f0ea5ca4bc999.600x600x1.jpg
11,444,5389437,,https://genius.com/Mac-miller-444-lyrics,https://images.genius.com/904f5ed20e5f3bbf5391f178c55c3d01.700x700x1.jpg
12,4:48 (Ft. Mac Miller),201096,,https://genius.com/Clockworkdj-4-48-lyrics,https://images.genius.com/f1e0bbd28fa4aba60a84bb891c5d8159.500x500x1.jpg
13,4 AM Off The Dome Freestyle,6773608,,https://genius.com/Mac-miller-4-am-off-the-dome-freestyle-lyrics,https://images.genius.com/904f5ed20e5f3bbf5391f178c55c3d01.700x700x1.jpg
14,55,426863,27837,https://genius.com/Mac-miller-55-lyrics,https://images.genius.com/13ce35ef8b892b61cbe71e14f5a9e8f2.1000x1000x1.jpg
15,5 O'Clock (Ft. Boaz),170382,,https://genius.com/Mac-miller-5-oclock-lyrics,https://images.genius.com/4186ee36b844bd7bbde71da3b370390b.500x500x1.jpg
16,6:30,2297706,16803,https://genius.com/Mac-miller-6-30-lyrics,https://images.genius.com/1b5527bfa12acbee024077c12885086e.999x999x1.png
17,72,251613,33881,https://genius.com/Delusional-thomas-72-lyrics,https://images.genius.com/a95f95f6dd277de1c135aa0ea68890ca.1000x1000x1.jpg
18,8:21 AM,5084418,7750,https://genius.com/Mac-miller-8-21-am-lyrics,https://images.genius.com/1b5527bfa12acbee024077c12885086e.999x999x1.png
19,'82 - '92 (Ft. Mac Miller),50952,27526,https://genius.com/1982-82-92-lyrics,https://images.genius.com/25256ff4d8d142a6cf09d71d22011964.500x500x1.jpg
20,Ain't I Freestyle (Ft. Big Will),6551617,,https://genius.com/The-ill-spoken-aint-i-freestyle-lyrics,https://images.genius.com/fa69038f2466c83992e831be293c6b5a.500x500x1.jpg
21,Ain't Lookin' For Love,5236997,,https://genius.com/Mac-miller-aint-lookin-for-love-lyrics,https://images.genius.com/1b5527bfa12acbee024077c12885086e.999x999x1.png
22,Alarm,5328106,,https://genius.com/Mac-miller-alarm-lyrics,https://images.genius.com/1b5527bfa12acbee024077c12885086e.999x999x1.png
23,Alarm Clock,6594431,,https://genius.com/Mac-miller-alarm-clock-lyrics,https://images.genius.com/1b5527bfa12acbee024077c12885086e.999x999x1.png
24,Aliens Fighting Robots (Ft. Sir Michael Rocks),69142,77373,https://genius.com/Mac-miller-aliens-fighting-robots-lyrics,https://images.genius.com/18b93aa441589ba982c97a6f8d7e0ccf.1000x1000x1.jpg
25,All Around The World,5849,26898,https://genius.com/Mac-miller-all-around-the-world-lyrics,https://images.genius.com/05f898e9488becec66cf9eeae932e32a.275x275x1.jpg
26,All I Want Is You,50027,53835,https://genius.com/Mac-miller-all-i-want-is-you-lyrics,https://images.genius.com/a8de6b36ccc06b0e9096884115bfea8c.1000x1000x1.jpg
27,All That (Ft. Bun B),57284,9382,https://genius.com/Mac-miller-all-that-lyrics,https://images.genius.com/781a2ead216a063ed9bf5ff4df530fd8.275x275x1.jpg
28,All the Time (Ft. Ab-Soul),106781,10629,https://genius.com/Mac-miller-all-the-time-lyrics,https://images.genius.com/07d33f3763e54fd1e8ec87780ccde929.1200x1200x1.jpg
29,All This,57309,,https://genius.com/Mac-miller-all-this-lyrics,https://images.genius.com/603cd17c9de05601dccfaa2442f8e0ea.500x500x1.jpg
30,Always Been (Ft. Mac Miller),53501,,https://genius.com/Smoke-dza-always-been-lyrics,https://images.genius.com/223ef207ebad1f82dedba85513ca74dc.1000x562x1.png
