id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
6334387,"100,000 People",26456,2021-01-07,3,When You See Yourself,,https://genius.com/Kings-of-leon-100000-people-lyrics,https://images.genius.com/5ee39f9268106b1d06d58b8317d09ec8.1000x1000x1.jpg
57113,17,22615,2008-09-19,18,Only by the Night,,https://genius.com/Kings-of-leon-17-lyrics,https://images.genius.com/5ab6813e9c87bcbe6c88867a62e3d97f.1000x1000x1.jpg
355376,Arizona,23128,2007-03-30,8,Because of the Times,,https://genius.com/Kings-of-leon-arizona-lyrics,https://images.genius.com/62d98716e0a134f43722761d3a3a6118.300x300x1.jpg
2857962,Around the World,25441,2016-09-30,4,WALLS,,https://genius.com/Kings-of-leon-around-the-world-lyrics,https://images.genius.com/4ecf1fcce1665abb80af9e52a24e174a.400x400x1.png
6347017,A Wave,9781,2021-03-05,,When You See Yourself,,https://genius.com/Kings-of-leon-a-wave-lyrics,https://images.genius.com/f58f1eeff1daf794e9c331efca0b5b48.1000x1000x1.jpg
421760,Back Down South,11268,2010-10-15,4,Come Around Sundown,,https://genius.com/Kings-of-leon-back-down-south-lyrics,https://images.genius.com/2bd4cf3ddea55bebbf47e9b9f917a666.1000x1000x1.png
421766,Beach Side,7736,2010-10-15,2,Come Around Sundown,,https://genius.com/Kings-of-leon-beach-side-lyrics,https://images.genius.com/2bd4cf3ddea55bebbf47e9b9f917a666.1000x1000x1.png
226428,Beautiful War,55258,2013-12-09,13,Mechanical Bull,,https://genius.com/Kings-of-leon-beautiful-war-lyrics,https://images.genius.com/13857ce947bba9c4a58b39ea023b9de1.480x480x1.jpg
421676,Beneath the Surface,,2008-09-19,,Only by the Night,,https://genius.com/Kings-of-leon-beneath-the-surface-lyrics,https://images.genius.com/5ab6813e9c87bcbe6c88867a62e3d97f.1000x1000x1.jpg
355388,Be Somebody,12329,2008-09-02,3,Only by the Night,,https://genius.com/Kings-of-leon-be-somebody-lyrics,https://images.genius.com/5ab6813e9c87bcbe6c88867a62e3d97f.1000x1000x1.jpg
355405,Birthday,8778,2010-10-15,4,Come Around Sundown,,https://genius.com/Kings-of-leon-birthday-lyrics,https://images.genius.com/2bd4cf3ddea55bebbf47e9b9f917a666.1000x1000x1.png
364137,Black Thumbnail,5166,2007-04-02,1,Because of the Times,,https://genius.com/Kings-of-leon-black-thumbnail-lyrics,https://images.genius.com/b66edfd4a60763719bbd5ad8721b354a.1000x1000x1.jpg
421519,California Waiting,10837,2004-02-16,,Youth & Young Manhood,,https://genius.com/Kings-of-leon-california-waiting-lyrics,https://images.genius.com/6ef3d2081674711d00e1fd4369c1d9e2.498x500x1.jpg
421650,Camaro,,2007-04-02,,Because of the Times,,https://genius.com/Kings-of-leon-camaro-lyrics,https://images.genius.com/b66edfd4a60763719bbd5ad8721b354a.1000x1000x1.jpg
421793,Celebration,,2010-10-15,1,Come Around Sundown,,https://genius.com/Kings-of-leon-celebration-lyrics,https://images.genius.com/2bd4cf3ddea55bebbf47e9b9f917a666.1000x1000x1.png
390214,Charmer,5957,2007-04-02,1,Because of the Times,,https://genius.com/Kings-of-leon-charmer-lyrics,https://images.genius.com/38b1550c03f3f3dfaf6fbc2c462c9d5a.300x300x1.jpg
6347146,Claire & Eddie,10140,2021-03-05,,When You See Yourself,,https://genius.com/Kings-of-leon-claire-and-eddie-lyrics,https://images.genius.com/f58f1eeff1daf794e9c331efca0b5b48.1000x1000x1.jpg
281627,Closer,105668,2008-09-19,30,Only by the Night,,https://genius.com/Kings-of-leon-closer-lyrics,https://images.genius.com/b7f6df2847f16caacefc5b3d51769c9c.1000x1000x1.jpg
6926686,"Closer⁵ (Ft. The Chainsmokers, Kings of Leon, Lacuna Coil, Ne-Yo, Nine Inch Nails, Tony Igy & Vicetone)",,2021-01-10,,Songs In The Color Of The Universe,,https://genius.com/Cosmic-latte-closer5-lyrics,https://images.genius.com/fa427a1b82d521f519995afc41b1a4fb.700x700x1.png
1823678,Closer (The Presets remix),,2010-10-15,,Come Around Sundown,,https://genius.com/Kings-of-leon-closer-the-presets-remix-lyrics,https://images.genius.com/2bd4cf3ddea55bebbf47e9b9f917a666.1000x1000x1.png
254415,Cold Desert,39159,2008-09-19,12,Only by the Night,,https://genius.com/Kings-of-leon-cold-desert-lyrics,https://images.genius.com/5ab6813e9c87bcbe6c88867a62e3d97f.1000x1000x1.jpg
226451,Comeback Story,20675,2013-09-24,9,Mechanical Bull,,https://genius.com/Kings-of-leon-comeback-story-lyrics,https://images.genius.com/9f8ad54ba604c20169cb2f74970445a3.500x500x1.jpg
226457,Coming Back Again,6060,2013-09-20,1,Mechanical Bull,,https://genius.com/Kings-of-leon-coming-back-again-lyrics,https://images.genius.com/8d16bf9d2db6c0412f6f4c927cf5e977.691x691x1.jpg
2869349,Conversation Piece,17524,2016-10-14,,WALLS,,https://genius.com/Kings-of-leon-conversation-piece-lyrics,https://images.genius.com/42def6dc1c0805d4d7d395597fc6add6.540x540x1.jpg
355412,Crawl,13219,2008-09-02,2,Only by the Night,,https://genius.com/Kings-of-leon-crawl-lyrics,https://images.genius.com/5ab6813e9c87bcbe6c88867a62e3d97f.1000x1000x1.jpg
421616,Day Old Blues,,2004-11-01,3,Aha Shake Heartbreak,,https://genius.com/Kings-of-leon-day-old-blues-lyrics,https://images.genius.com/168090ed903e8ac0ffedff95e1d1788e.220x220x1.jpg
355426,Don't Matter,7960,2013-09-20,1,Mechanical Bull,,https://genius.com/Kings-of-leon-dont-matter-lyrics,https://images.genius.com/8d16bf9d2db6c0412f6f4c927cf5e977.691x691x1.jpg
421522,Dusty,,2003-07-07,,Youth & Young Manhood,,https://genius.com/Kings-of-leon-dusty-lyrics,https://images.genius.com/b37548e024cc83292fba730e28e511bb.500x500x1.png
