id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
3952735,-,22918,2018-09-12,3,Spotify Singles,,https://genius.com/Arctic-monkeys--lyrics,https://images.genius.com/f1466ebf5e836842fcc26a45e8519e30.640x640x1.jpg
191899,2013,28137,2013-07-22,10,Do I Wanna Know? - Single,,https://genius.com/Arctic-monkeys-2013-lyrics,https://images.genius.com/07ecf40c19bb9243a8161ff9bcbfe116.1000x1000x1.jpg
297450,#4 Arctic Monkeys - AM,8034,,24,2013 Albums of the Year,,https://genius.com/Rock-genius-4-arctic-monkeys-am-annotated,https://images.genius.com/4458f7eb2ee5aad0cc334d63adb5b4a8.748x672x1.png
93916,505,1126484,2007-04-18,258,Favourite Worst Nightmare,,https://genius.com/Arctic-monkeys-505-lyrics,https://images.genius.com/389cf166c583dd9b3323128068e446a2.600x600x1.jpg
6109862,505 (Live),,2020-12-04,,Live at the Royal Albert Hall,,https://genius.com/Arctic-monkeys-505-live-lyrics,https://images.genius.com/c8e608c087b229b20dcc039164cde092.999x999x1.jpg
149412,7,11560,2006-01-16,7,When the Sun Goes Down - Single,,https://genius.com/Arctic-monkeys-7-lyrics,https://images.genius.com/63b02ae42518ac426c8cc75348ecd4b9.600x600x1.jpg
84281,A Certain Romance,198417,2006-01-23,68,"Whatever People Say I Am, That’s What I’m Not",,https://genius.com/Arctic-monkeys-a-certain-romance-lyrics,https://images.genius.com/779b9b4221140a2ffc0b7bc68bb291fd.600x600x1.jpg
51729,All My Own Stunts,46393,2011-06-06,10,Suck It and See,,https://genius.com/Arctic-monkeys-all-my-own-stunts-lyrics,https://images.genius.com/5bb6ab3449ed9d410e47aa65c272c3ca.1000x1000x1.jpg
3629325,American Sports,177763,2018-05-11,16,Tranquility Base Hotel & Casino,,https://genius.com/Arctic-monkeys-american-sports-lyrics,https://images.genius.com/61e412d4ff6c066a4903f0baecd13347.1000x1000x1.png
4023232,Anyways,67515,2018-11-30,15,Tranquility Base Hotel & Casino - Single,,https://genius.com/Arctic-monkeys-anyways-lyrics,https://images.genius.com/65fd29cff7b6559348be117d342820af.1000x1000x1.jpg
212611,Arabella,779908,2013-09-06,185,AM,,https://genius.com/Arctic-monkeys-arabella-lyrics,https://images.genius.com/af4ac59ba9e3e8b0fe70d7c1156ff8f2.1000x1000x1.jpg
