id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
68169,12:51,99800,2003-10-13,18,Room on Fire,,https://genius.com/The-strokes-12-51-lyrics,https://images.genius.com/104c2e636bbede8a89adcd544edaeca5.1000x1000x1.jpg
351491,15 Minutes,17317,2006-01-03,4,First Impressions of Earth,,https://genius.com/The-strokes-15-minutes-lyrics,https://images.genius.com/d5a71257aabaa7f131daaad7f6f8dc74.1000x1000x1.jpg
131484,50/50,39718,2013-03-26,5,Comedown Machine,,https://genius.com/The-strokes-50-50-lyrics,https://images.genius.com/9193c961538461102ac0143367e13fb2.1000x1000x1.jpg
131394,80's Comedown Machine,55332,2013-03-26,14,Comedown Machine,,https://genius.com/The-strokes-80s-comedown-machine-lyrics,https://images.genius.com/9193c961538461102ac0143367e13fb2.1000x1000x1.jpg
117930,All the Time,33409,2013-02-19,7,Comedown Machine,,https://genius.com/The-strokes-all-the-time-lyrics,https://images.genius.com/5cca565e317b9ee6622a3d6c714d39a3.1000x1000x1.jpg
132563,"Alone, Together",98158,2001-07-30,8,Is This It,,https://genius.com/The-strokes-alone-together-lyrics,https://images.genius.com/10d00e407c9f49d896ae5d217b0067e2.1000x1000x1.jpg
1984907,"Alone, Together (Home Recording)",,2002-09-23,,Someday,,https://genius.com/The-strokes-alone-together-home-recording-lyrics,https://images.genius.com/f93bfc5130ef755409168c7d1b15161c.1000x1000x1.jpg
1834797,A Minor 4-4,,,,,,https://genius.com/The-strokes-a-minor-4-4-lyrics,https://images.genius.com/b5237c13de1a05f92ca6327d854cbfc8.1000x1000x1.jpg
131352,Ask Me Anything,33490,2006-01-03,8,First Impressions of Earth,,https://genius.com/The-strokes-ask-me-anything-lyrics,https://images.genius.com/d5a71257aabaa7f131daaad7f6f8dc74.1000x1000x1.jpg
5244673,At the Door,197512,2020-02-11,23,The New Abnormal,,https://genius.com/The-strokes-at-the-door-lyrics,https://images.genius.com/d3d53e0198b43b3cd27639d45b052110.1000x1000x1.jpg
197514,Automatic Stop,76093,2003-10-28,22,Room on Fire,,https://genius.com/The-strokes-automatic-stop-lyrics,https://images.genius.com/973e9053a9b9b3a19d2d17b6a63ec01c.1000x1000x1.jpg
5244558,Bad Decisions,150043,2020-02-18,11,The New Abnormal,,https://genius.com/The-strokes-bad-decisions-lyrics,https://images.genius.com/ee221f75e0f6639b84de51b7fa174ea9.1000x1000x1.jpg
105116,Barely Legal,189263,2001-07-30,28,Is This It,,https://genius.com/The-strokes-barely-legal-lyrics,https://images.genius.com/10d00e407c9f49d896ae5d217b0067e2.1000x1000x1.jpg
668936,Barely Legal (The Modern Age EP),,,1,,,https://genius.com/The-strokes-barely-legal-the-modern-age-ep-lyrics,https://images.genius.com/b5237c13de1a05f92ca6327d854cbfc8.1000x1000x1.jpg
177769,Between Love & Hate,39828,2003-10-28,11,Room on Fire,,https://genius.com/The-strokes-between-love-and-hate-lyrics,https://images.genius.com/973e9053a9b9b3a19d2d17b6a63ec01c.1000x1000x1.jpg
5244551,Brooklyn Bridge to Chorus,156588,2020-04-10,19,The New Abnormal,,https://genius.com/The-strokes-brooklyn-bridge-to-chorus-lyrics,https://images.genius.com/e46ad873351982bbe63b96074b2b5695.1000x1000x1.jpg
131539,"Call It Fate, Call It Karma",158136,2013-03-26,33,Comedown Machine,,https://genius.com/The-strokes-call-it-fate-call-it-karma-lyrics,https://images.genius.com/9193c961538461102ac0143367e13fb2.1000x1000x1.jpg
268961,Call Me Back,37303,2011-03-18,15,Angles,,https://genius.com/The-strokes-call-me-back-lyrics,https://images.genius.com/380c986a682660608028233b3d3d14a0.1000x1000x1.jpg
131483,Chances,82967,2013-03-26,21,Comedown Machine,,https://genius.com/The-strokes-chances-lyrics,https://images.genius.com/9193c961538461102ac0143367e13fb2.1000x1000x1.jpg
1167733,Clampdown,,2004-11-01,,The End Has No End,,https://genius.com/The-strokes-clampdown-lyrics,https://images.genius.com/5bb4d9f28c65ea9786de31d5c1813768.596x597x1.jpg
196909,Clear Skies,,,1,,,https://genius.com/The-strokes-clear-skies-lyrics,https://images.genius.com/b5237c13de1a05f92ca6327d854cbfc8.1000x1000x1.jpg
2480460,Drag Queen,53673,2016-06-03,5,Future Present Past,,https://genius.com/The-strokes-drag-queen-lyrics,https://images.genius.com/751ce6332c343cc389f5f0934c436ff6.1000x1000x1.jpg
153302,Electricityscape,23163,2006-01-03,10,First Impressions of Earth,,https://genius.com/The-strokes-electricityscape-lyrics,https://images.genius.com/d5a71257aabaa7f131daaad7f6f8dc74.1000x1000x1.jpg
1162402,Elephant Song,,,1,Elephant Song,,https://genius.com/The-strokes-elephant-song-lyrics,https://images.genius.com/a8858274d976d30deff90b4eeca75274.600x600x1.jpg
5244568,Eternal Summer,118820,2020-04-10,9,The New Abnormal,,https://genius.com/The-strokes-eternal-summer-lyrics,https://images.genius.com/37a0b0306a7f089dda0e12f563817a8e.1000x1000x1.jpg
103209,Evening Sun,24458,2006-01-03,4,First Impressions of Earth,,https://genius.com/The-strokes-evening-sun-lyrics,https://images.genius.com/d5a71257aabaa7f131daaad7f6f8dc74.1000x1000x1.jpg
132925,Fast Animals,11700,2013-04-20,5,Comedown Machine,,https://genius.com/The-strokes-fast-animals-lyrics,https://images.genius.com/5cca565e317b9ee6622a3d6c714d39a3.1000x1000x1.jpg
207083,Fear of Sleep,13382,2006-01-03,8,First Impressions of Earth,,https://genius.com/The-strokes-fear-of-sleep-lyrics,https://images.genius.com/d5a71257aabaa7f131daaad7f6f8dc74.1000x1000x1.jpg
268956,Games,16989,2011-03-18,4,Angles,,https://genius.com/The-strokes-games-lyrics,https://images.genius.com/380c986a682660608028233b3d3d14a0.1000x1000x1.jpg
103391,Gratisfaction,27116,2011-03-18,8,Angles,,https://genius.com/The-strokes-gratisfaction-lyrics,https://images.genius.com/380c986a682660608028233b3d3d14a0.1000x1000x1.jpg
131537,Happy Ending,52406,2013-03-26,1,Comedown Machine,,https://genius.com/The-strokes-happy-ending-lyrics,https://images.genius.com/9193c961538461102ac0143367e13fb2.1000x1000x1.jpg
77061,Hard to Explain,167215,2001-06-25,41,Is This It,,https://genius.com/The-strokes-hard-to-explain-lyrics,https://images.genius.com/e6d9505422f3dd0480ef7e1469ec12dc.1000x1000x1.jpg
637816,Hard to Explain (Demo),,,,,,https://genius.com/The-strokes-hard-to-explain-demo-lyrics,https://images.genius.com/b5237c13de1a05f92ca6327d854cbfc8.1000x1000x1.jpg
