id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
975772,634-5789,,1966-04-01,,The Soul Album,,https://genius.com/Otis-redding-634-5789-lyrics,https://images.genius.com/41cfd5b6d56c9117e7a0e4a0ebf10fc1.640x639x1.jpg
268578,A Change is Gonna Come,11379,1965-01-01,4,Otis Blue/Otis Redding Sings Soul,https://open.spotify.com/track/36oWGr2QCJg0QXnGIpBT0k,https://genius.com/Otis-redding-a-change-is-gonna-come-lyrics,https://images.genius.com/85ff7c213de03bb628472b7928652e82.1000x1000x1.jpg
1571408,A Fool For You,,,,The Immortal Otis Redding ,,https://genius.com/Otis-redding-a-fool-for-you-lyrics,https://images.genius.com/929d3816a912b495573e80de4dad2c71.999x1000x1.jpg
1542940,A Hard Day's Night,,,,,,https://genius.com/Otis-redding-a-hard-days-night-lyrics,https://images.genius.com/f3637a6fc2f8c642011bfb2f659ad178.1000x563x1.png
1710317,A Little Time,,1970-07-01,,Tell the Truth,,https://genius.com/Otis-redding-a-little-time-lyrics,https://images.genius.com/c3003f65fb37ad9366695428ca66df9f.995x1000x1.jpg
994189,A Lover's Question,,,,Love Man,,https://genius.com/Otis-redding-a-lovers-question-lyrics,https://images.genius.com/60d8ed222d45183a3f40de38b822dc78.975x1000x1.jpg
1451250,Amen,,,,The Immortal Otis Redding ,,https://genius.com/Otis-redding-amen-lyrics,https://images.genius.com/929d3816a912b495573e80de4dad2c71.999x1000x1.jpg
1728369,Any Ole Way,,1966-04-01,,The Soul Album,,https://genius.com/Otis-redding-any-ole-way-lyrics,https://images.genius.com/41cfd5b6d56c9117e7a0e4a0ebf10fc1.640x639x1.jpg
1753566,Any Ole Way,,2014-02-04,,The Royal Sessions,,https://genius.com/Paul-rodgers-any-ole-way-lyrics,https://images.genius.com/74984d0e00fcdaaa6cb588712efb881b.999x999x1.jpg
1061508,Any Ole Way - Live,,,,In Person At Whisky a Go Go,,https://genius.com/Otis-redding-any-ole-way-live-lyrics,https://images.genius.com/dfcbd749af7ddddbfead332457032742.576x576x1.jpg
1948014,Any ole way - remastered live at the whisky 1968,,,,,,https://genius.com/Otis-redding-any-ole-way-remastered-live-at-the-whisky-1968-lyrics,https://images.genius.com/f3637a6fc2f8c642011bfb2f659ad178.1000x563x1.png
918333,A Waste Of Time,,,,The Immortal Otis Redding ,,https://genius.com/Otis-redding-a-waste-of-time-lyrics,https://images.genius.com/929d3816a912b495573e80de4dad2c71.999x1000x1.jpg
1495389,"A Woman, A Lover, A Friend",,,,The Great Otis Redding Sings Soul Ballads,,https://genius.com/Otis-redding-a-woman-a-lover-a-friend-lyrics,https://images.genius.com/01c025d00bf161e84664021fbe8e504a.500x498x1.jpg
1758764,Blue Medley: I’ll Drown in My Own Tears/ When Something Is Wrong with My Baby/ I’ve Been Loving You Too Long,,,,,,https://genius.com/Joe-cocker-blue-medley-ill-drown-in-my-own-tears-when-something-is-wrong-with-my-baby-ive-been-loving-you-too-long-lyrics,https://images.genius.com/0a2e84e6276441f7e893e379067dc7eb.1000x1000x1.jpg
4205188,Blue Medley: I’ll Drown in My Own Tears/ When Something Is Wrong with My Baby/ I’ve Been Loving You Too Long (Live at the Fillmore East/1970) (Ft. Bobby Jones),,,,Mad Dogs & Englishmen,,https://genius.com/Joe-cocker-blue-medley-ill-drown-in-my-own-tears-when-something-is-wrong-with-my-baby-ive-been-loving-you-too-long-live-at-the-fillmore-east-1970-lyrics,https://images.genius.com/4048e88bb324875d63d3140ac2ef691b.1000x1000x1.jpg
1234259,Bring It On Home To Me,,1967-03-16,,King & Queen,,https://genius.com/Otis-redding-and-carla-thomas-bring-it-on-home-to-me-lyrics,https://images.genius.com/8c83100182c2eafc9ec4116ba0778044.597x597x1.jpg
1405185,Can't Turn You Loose,,,,The Best of Otis Redding,,https://genius.com/Otis-redding-cant-turn-you-loose-lyrics,https://images.genius.com/0fad00a39a09a5f43765e75bf8ffb555.600x596x1.jpg
