id,title,views,lyric_url,art_url,release_date
191019,"100 Favors (Ft. Birdman, Detail & Kendrick Lamar)",75670,https://genius.com/Rich-gang-100-favors-lyrics,https://images.genius.com/e74aad1482493ed5d7a6e739fa38bbe7.512x512x1.jpg,2013-02-16
72886,100 Yard Dash,8154,https://genius.com/Ab-soul-100-yard-dash-lyrics,https://images.genius.com/998194aac1a05158c79d419c442b68ce.400x400x1.jpg,2009-01-08
103554,"1Train (Ft. Action Bronson, Big K.R.I.T., Danny Brown, Joey Bada$$, Kendrick Lamar & Yelawolf)",2125789,https://genius.com/A-ap-rocky-1train-lyrics,https://images.genius.com/b6a2e7475e39774ba073aeeef64bc8f8.1000x1000x1.png,2013-01-15
57111,"2011 BET Hip Hop Awards - Indie Meets Mainstream Cypher (Ft. Big K.R.I.T., B.o.B, Kendrick Lamar, Machine Gun Kelly & Tech N9ne)",104476,https://genius.com/Bet-2011-bet-hip-hop-awards-indie-meets-mainstream-cypher-lyrics,https://images.genius.com/c316a9129e7d68b7ee93c6deca20a3c7.400x400x1.jpg,2011-10-11
92105,"2012 BET Hip Hop Awards - Cypher 5 (Ft. DJ Quik, E-40, Kendrick Lamar, Kurupt, Snoop Dogg, Xzibit & YG)",56862,https://genius.com/Bet-2012-bet-hip-hop-awards-cypher-5-lyrics,https://images.genius.com/0383e992613e23759168f1d5a13b300a.1000x1000x1.jpg,2012-10-09
231937,"2013 BET Hip Hop Awards - TDE Cypher (Ft. Ab-Soul, Black Hippy, Isaiah Rashad, Jay Rock, Kendrick Lamar, ScHoolboy Q & Top Dawg Entertainment)",638794,https://genius.com/Bet-2013-bet-hip-hop-awards-tde-cypher-lyrics,https://images.genius.com/c316a9129e7d68b7ee93c6deca20a3c7.400x400x1.jpg,2013-10-15
214545,2013 Yeezus Tour Dates (Ft. Kendrick Lamar),56014,https://genius.com/Kanye-west-2013-yeezus-tour-dates-annotated,https://images.genius.com/ceccff1664c8a331b9fe2143381b6df7.639x639x1.jpg,None
3477888,2018 Grammys Performance,55299,https://genius.com/Kendrick-lamar-u2-and-dave-chappelle-2018-grammys-performance-lyrics,https://images.genius.com/586a895c2343f6442bc54c09ea8cf4b3.1000x1000x1.jpg,2018-01-28
621218,25 (Ft. Kendrick Lamar),8468,https://genius.com/Punch-25-lyrics,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg,2014-12-10
330374,2DopeBoyz Freestyle,,https://genius.com/Kendrick-lamar-2dopeboyz-freestyle-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2009-01-01
