id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
1935317,3.214,,2008-07-23,3,Madvillainy 2: The Madlib Remix,,https://genius.com/Madvillain-3214-lyrics,https://images.genius.com/d7a9e1c91493ac52eae513f9290eaaea.1000x1000x1.jpg
4715,Absolutely,53763,2009-03-24,16,BORN LIKE THIS,,https://genius.com/Mf-doom-absolutely-lyrics,https://images.genius.com/01edf9d69a6ac635d7ca4d452539e8ce.1000x1000x1.jpg
1813053,Accordian (Four Tet remix),,,,,,https://genius.com/Madvillain-accordian-four-tet-remix-lyrics,https://images.genius.com/6ebefd0a05856dacd9fb3fcec4d97f10.376x376x1.jpg
3810,Accordion,751406,2004-03-23,139,Madvillainy,,https://genius.com/Madvillain-accordion-lyrics,https://images.genius.com/9a2e091cb5a829ab9e0ceffba2f1598b.1000x1000x1.png
2398231,Accordion,,2015-12-25,,RyneyDOOMdILLa (mixtape),,https://genius.com/Ryney-accordion-lyrics,https://images.rapgenius.com/3b41554ebebec99ea1ad140d17e09465.800x657x1.jpg
1802515,Accordion (Four Tet Remix),,2017-12-08,,Four Tet Remixes,,https://genius.com/Madvillain-accordion-four-tet-remix-lyrics,https://images.genius.com/2d3e7758a9e912d947800fdb772c33a6.199x199x1.jpg
1798756,Accordion (Four Tet Remix Instrumental),,,,Four Tet Remixes,,https://genius.com/Madvillain-accordion-four-tet-remix-instrumental-lyrics,https://images.genius.com/2d3e7758a9e912d947800fdb772c33a6.199x199x1.jpg
4466677,Adult swim,,2019-04-11,,,,https://genius.com/Rod-zerling-adult-swim-lyrics,https://assets.genius.com/images/default_cover_image.png?1628811341
2768,All Caps,409813,2004-03-23,111,Madvillainy,,https://genius.com/Madvillain-all-caps-lyrics,https://images.genius.com/1a316ea9d36008f8d217c8ccf4c2ef1f.827x824x1.png
1023459,All Caps (demo),,,1,Madvilliany Demo Tape,,https://genius.com/Madvillain-all-caps-demo-lyrics,https://images.genius.com/1ee0ad935a4d93bc89182df01f2322aa.455x455x1.jpg
6656354,All Caps (Instrumental),,2004-01-01,,Curls & All Caps,,https://genius.com/Madvillain-all-caps-instrumental-lyrics,https://images.genius.com/f4d755d3893246503854b40c823c6678.824x824x1.png
2317,America's Most Blunted (Ft. Quasimoto),196190,2004-03-23,31,Madvillainy,,https://genius.com/Madvillain-americas-most-blunted-lyrics,https://images.genius.com/9a2e091cb5a829ab9e0ceffba2f1598b.1000x1000x1.png
1388512,America's Most Blunted (demo) (Ft. Quasimoto),,,,Madvilliany Demo Tape,,https://genius.com/Madvillain-americas-most-blunted-demo-lyrics,https://images.genius.com/1ee0ad935a4d93bc89182df01f2322aa.455x455x1.jpg
1810270,America’s Most Blunted (Doom’s Verse) (Koushik Remix),,,,Koushik Remixes,,https://genius.com/Madvillain-americas-most-blunted-dooms-verse-koushik-remix-lyrics,https://images.genius.com/eac2915aced71f21b7032c353ae3b425.199x199x1.jpg
6656420,America's Most Blunted (Instrumental),,,,Money Folder / America’s Most Blunted,,https://genius.com/Madvillain-americas-most-blunted-instrumental-lyrics,https://images.genius.com/4dea0ccf0db51407564b2dd7ae322453.400x400x1.jpg
1820737,America's Most Blunted (instrumental) (Koushik remix),,,,,,https://genius.com/Madvillain-americas-most-blunted-instrumental-koushik-remix-lyrics,https://images.genius.com/6ebefd0a05856dacd9fb3fcec4d97f10.376x376x1.jpg
236049,Avalanche,41557,2016-12-15,23,,,https://genius.com/Madvillain-avalanche-lyrics,https://images.genius.com/42ea8b14aec62135ec240d6f30f4b9e3.620x620x1.jpg
84625,Bistro,89733,2004-03-23,11,Madvillainy,,https://genius.com/Madvillain-bistro-lyrics,https://images.genius.com/9a2e091cb5a829ab9e0ceffba2f1598b.1000x1000x1.png
5287545,Bonus Beat: Shadows of Tomorrow (Instrumental),,,,Four Tet Remixes,,https://genius.com/Madvillain-bonus-beat-shadows-of-tomorrow-instrumental-lyrics,https://images.genius.com/2d3e7758a9e912d947800fdb772c33a6.199x199x1.jpg
2925981,Borrowed Time,,2008-07-23,,Madvillainy 2: The Madlib Remix,,https://genius.com/Madvillain-borrowed-time-lyrics,https://images.genius.com/d7a9e1c91493ac52eae513f9290eaaea.1000x1000x1.jpg
2925970,Boulder Holder,,2008-07-23,1,Madvillainy 2: The Madlib Remix,,https://genius.com/Madvillain-boulder-holder-lyrics,https://images.genius.com/d7a9e1c91493ac52eae513f9290eaaea.1000x1000x1.jpg
2927117,Butter King Jewels,,2008-07-23,,Madvillainy 2: The Madlib Remix,,https://genius.com/Madvillain-butter-king-jewels-lyrics,https://images.genius.com/d7a9e1c91493ac52eae513f9290eaaea.1000x1000x1.jpg
2926825,Can't Reform Em,,2008-07-23,,Madvillainy 2: The Madlib Remix,,https://genius.com/Madvillain-cant-reform-em-lyrics,https://images.genius.com/d7a9e1c91493ac52eae513f9290eaaea.1000x1000x1.jpg
38318,Closer (Ft. Madvillain),8067,2005-05-03,2,The Further Adventures of Lord Quas,,https://genius.com/Quasimoto-closer-lyrics,https://images.genius.com/4e8e46b6e7afa0d75a678a095ff205bc.455x455x1.jpg
3043198,Clown,,2017-04-01,,The Street Fighta Mixtape,,https://genius.com/Akuma-the-rapper-clown-lyrics,https://images.genius.com/09dcae86735aed94b92ad9791109c79b.1000x1000x1.jpg
