id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
4159974,Beerus,424892,2018-12-14,45,New Age,,https://genius.com/Ksi-and-randolph-beerus-lyrics,https://images.genius.com/e9d4491d687f2bd84962b2be2a0125e8.640x640x1.jpg
4812819,Black and White,,,,,,https://genius.com/Ksi-and-randolph-black-and-white-lyrics,https://images.genius.com/5f039f5e752c0b0ec6554ba58dca49aa.698x698x1.jpg
4381587,Bow Down,8997,2019-04-12,2,New Age,,https://genius.com/Ksi-and-randolph-bow-down-lyrics,https://images.genius.com/52edf1fe88c2724bc1b2d92aca460b55.1000x1000x1.png
4381591,Champagne,30523,2019-04-12,6,New Age,,https://genius.com/Ksi-and-randolph-champagne-lyrics,https://images.genius.com/52edf1fe88c2724bc1b2d92aca460b55.1000x1000x1.png
4381594,Clean,16195,2019-04-12,4,New Age,,https://genius.com/Ksi-and-randolph-clean-lyrics,https://images.genius.com/52edf1fe88c2724bc1b2d92aca460b55.1000x1000x1.png
4224088,King Kong,10030,,3,,,https://genius.com/Ksi-and-randolph-king-kong-lyrics,https://images.genius.com/5f039f5e752c0b0ec6554ba58dca49aa.698x698x1.jpg
4381584,New Age,42093,2019-04-12,6,New Age,,https://genius.com/Ksi-and-randolph-new-age-lyrics,https://images.genius.com/52edf1fe88c2724bc1b2d92aca460b55.1000x1000x1.png
3834347,"Old English (Remix) (Ft. KSI, Randolph & Young Thug)",,2015-02-05,2,,,https://genius.com/Ksi-and-randolph-old-english-remix-lyrics,https://images.genius.com/5f039f5e752c0b0ec6554ba58dca49aa.698x698x1.jpg
4381596,Real Name (Ft. Talia Mar),28596,2019-04-12,9,New Age,,https://genius.com/Ksi-and-randolph-real-name-lyrics,https://images.genius.com/82e7398ae3fdea64da96b9aac3669542.1000x1000x1.jpg
4221723,Red Alert,78600,2019-01-11,15,New Age,,https://genius.com/Ksi-and-randolph-red-alert-lyrics,https://images.genius.com/9a1be8a9aca8f96555ae507e038dc720.500x500x1.jpg
725200,Robin Van Persie VS KSIOlajideBT,,2013-01-04,,,,https://genius.com/Ksi-and-randolph-robin-van-persie-vs-ksiolajidebt-lyrics,https://images.genius.com/5f039f5e752c0b0ec6554ba58dca49aa.698x698x1.jpg
3665281,Slow Motion (Ft. KSI),82426,2018-04-20,30,,,https://genius.com/Randolph-slow-motion-lyrics,https://images.genius.com/e0f190e51192642c4f7cb3c038c3cb8a.640x640x1.jpg
5590617,Slow Motion (Remastered),,2019-04-12,2,New Age,,https://genius.com/Ksi-and-randolph-slow-motion-remastered-lyrics,https://images.genius.com/18f2812574ec57f2ba0952cae8f0277f.440x440x1.jpg
120731,Sweaty Goals,6694,2012-12-20,,,,https://genius.com/Ksi-and-randolph-sweaty-goals-lyrics,https://images.genius.com/c87e9c8ac1b56485289e7f740daab9c5.600x600x1.png
