id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
2484648,A Convict Story,,2016-03-25,,,,https://genius.com/Amal-usa-a-convict-story-lyrics,https://assets.genius.com/images/default_cover_image.png?1628811341
341630,After the Disco,10852,2014-01-07,14,After the Disco,,https://genius.com/Broken-bells-after-the-disco-lyrics,https://images.genius.com/02f810bfa336b364794c71d2867c013a.1000x1000x1.jpg
1403289,An Easy Life,,2011-04-04,,Meyrin Fields - EP,,https://genius.com/Broken-bells-an-easy-life-lyrics,https://images.genius.com/92871177a44854e0dbad952c41f2dddb.640x574x1.jpg
1063610,An Easy Life (instrumental),,,,,,https://genius.com/Broken-bells-an-easy-life-instrumental-lyrics,https://images.genius.com/6005cc35642f02edc8d1d3b95bf2faf5.979x979x1.jpg
342428,Citizen,,2010-03-05,,Broken Bells,,https://genius.com/Broken-bells-citizen-lyrics,https://images.genius.com/3260c51e635ed8013965d0825686fc81.600x600x1.jpg
355134,Control,,2014-01-31,5,After the Disco,,https://genius.com/Broken-bells-control-lyrics,https://images.genius.com/22492d0afceb515f64c9ab1f45e0ce04.1000x1000x1.jpg
4902168,Good Luck,17829,2019-09-27,3,30th Century Vol. 2,,https://genius.com/Broken-bells-good-luck-lyrics,https://images.genius.com/dfcd2644c9d6fab619440e337e6373ad.1000x1000x1.jpg
1041748,Heartless Empire,,2011-04-04,,Meyrin Fields - EP,,https://genius.com/Broken-bells-heartless-empire-lyrics,https://images.genius.com/92871177a44854e0dbad952c41f2dddb.640x574x1.jpg
263119,Holding on for Life,18552,2013-11-21,25,After the Disco,,https://genius.com/Broken-bells-holding-on-for-life-lyrics,https://images.genius.com/1020b57404d6c7578b4fd9d0a955dc35.600x600x1.jpg
3648869,Holding On For Life (Solomun Remix),,2016-07-01,,Solomun (Selected Remixes 2009-2015),,https://genius.com/Broken-bells-holding-on-for-life-solomun-remix-lyrics,https://images.genius.com/f7d115dd32fc7b5b58ea6ad05c654d63.500x500x1.jpg
2182206,Holding On for Life - Zeds Dead Remix,,,,,,https://genius.com/Broken-bells-holding-on-for-life-zeds-dead-remix-lyrics,https://images.genius.com/6005cc35642f02edc8d1d3b95bf2faf5.979x979x1.jpg
2315390,It's That Talk Again,25630,,1,,,https://genius.com/Broken-bells-its-that-talk-again-lyrics,https://images.rapgenius.com/86cb6372b88914208869cae7cc5e8334.600x600x1.jpg
355150,Lazy Wonderland,,2014-01-31,2,After the Disco,,https://genius.com/Broken-bells-lazy-wonderland-lyrics,https://images.genius.com/22492d0afceb515f64c9ab1f45e0ce04.1000x1000x1.jpg
355117,Leave It Alone,6654,2014-01-31,5,After the Disco,,https://genius.com/Broken-bells-leave-it-alone-lyrics,https://images.genius.com/22492d0afceb515f64c9ab1f45e0ce04.1000x1000x1.jpg
355193,Medicine,,2014-01-31,1,After the Disco,,https://genius.com/Broken-bells-medicine-lyrics,https://images.genius.com/22492d0afceb515f64c9ab1f45e0ce04.1000x1000x1.jpg
