id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
6606575,23,,2021-03-19,,,,https://genius.com/Breathe-carolina-23-lyrics,https://images.genius.com/d81f77310401049e2ce008c6903035b5.600x600x1.jpg
1253869,All For You (Ft. Breathe Carolina),,2009-11-10,,The Second Effect,,https://genius.com/Kill-paradise-all-for-you-lyrics,https://images.genius.com/f23b55fd8fab12c595533f3049c2ecbc.457x457x1.jpg
4482242,All I Need,,2019-04-29,,All I Need - Single,,https://genius.com/Breathe-carolina-and-jordan-jay-all-i-need-lyrics,https://images.genius.com/66ece864b7456d8bd6162635c0c4e557.500x500x1.jpg
4648508,All I Need (Extended Mix),,2019-05-07,,All I Need - Single,,https://genius.com/Breathe-carolina-and-jordan-jay-all-i-need-extended-mix-lyrics,https://images.genius.com/ba9f2b4ed15bcb88308a05b51a83b422.1000x1000x1.jpg
4138976,All I Wanna,,2015-11-13,,All I Wanna the Remixes,,https://genius.com/Disco-fries-and-breathe-carolina-all-i-wanna-lyrics,https://images.genius.com/72e6a58bb0e5403fb1b26ec4c0ca1c7c.600x600x1.jpg
4636361,All I Wanna (Extended Mix),,2015-06-01,,All I Wanna the Remixes,,https://genius.com/Disco-fries-and-breathe-carolina-all-i-wanna-extended-mix-lyrics,https://images.genius.com/72e6a58bb0e5403fb1b26ec4c0ca1c7c.600x600x1.jpg
4806338,All Star (Breathe Carolina Remix),,2019-08-23,,,,https://genius.com/Smash-mouth-all-star-breathe-carolina-remix-lyrics,https://images.genius.com/1af7c47d663da49222a36cdad298d494.1000x1000x1.jpg
2149794,Anywhere but Home,,2015-06-10,,Anywhere but Home - Single,,https://genius.com/Breathe-carolina-and-apek-anywhere-but-home-lyrics,https://images.genius.com/ecc6e5723d929e0346fabc1220f47ac5.500x500x1.jpg
4140450,Anywhere But Home (Acoustic Remix),,2015-08-31,1,Acoustic EP ,,https://genius.com/Breathe-carolina-anywhere-but-home-acoustic-remix-lyrics,https://images.genius.com/39e7f75cf38e06b18f05d0798fcf4823.600x600x1.jpg
4636841,Anywhere but Home (Original Mix),,2015-06-08,,Anywhere but Home - Single,,https://genius.com/Breathe-carolina-and-apek-anywhere-but-home-original-mix-lyrics,https://images.genius.com/b5dba214e36fbf5119dc7d3fecd495b2.1000x1000x1.jpg
3042736,Atlantis,,2016-12-23,,Oh So Hard - EP,,https://genius.com/Breathe-carolina-and-dropgun-atlantis-lyrics,https://images.genius.com/2adbade8d8503f2c0ef537f8123ba7b2.350x350x1.jpg
390818,Bang It Out (Ft. Karmin),12002,2014-03-18,6,Savages,,https://genius.com/Breathe-carolina-bang-it-out-lyrics,https://images.genius.com/b4db0be9a55d80034ac305924c5aaae1.300x300x1.jpg
4912671,Better,,2019-11-15,,DEADTHEALBUM,,https://genius.com/Breathe-carolina-better-lyrics,https://images.genius.com/9fe137d1559b285018cbf74c14e0f6a0.500x500x1.jpg
5106802,Better (Acoustic),,2019-12-20,,DEADTHEACOUSTIC - EP,,https://genius.com/Breathe-carolina-better-acoustic-lyrics,https://images.genius.com/34e1ce03f1b4178e38c32993f0028a56.500x500x1.jpg
6377965,Better (Asketa & Natan Chaim Extended Remix),,2020-04-24,,DEADTHEREMIXES (Extended Mix),,https://genius.com/Breathe-carolina-better-asketa-and-natan-chaim-extended-remix-lyrics,https://images.genius.com/e07f5c2c81da7e6f10a55480ad1c824a.1000x1000x1.jpg
5484358,Better (Asketa & Natan Chaim Remix),,2020-04-24,,DEADTHEREMIXES,,https://genius.com/Breathe-carolina-better-asketa-and-natan-chaim-remix-lyrics,https://images.genius.com/d492751533b932a6e223096ab54a5f99.1000x1000x1.jpg
524337,Billie Jean,,2012-11-01,1,Punk Goes Pop Volume 5,,https://genius.com/Breathe-carolina-billie-jean-lyrics,https://images.rapgenius.com/e985569b4bed1dc6d0bf5533d04d92bf.300x300x1.jpg
80116,Blackout,13338,2011-06-13,13,Hell Is What You Make It,,https://genius.com/Breathe-carolina-blackout-lyrics,https://images.genius.com/bc72b5aeb4bb6eee73a845b6734aadd4.600x600x1.jpg
