id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
7101361,Afraid of Heights (Ft. Shakey Graves),,,,Yard Sale,,https://genius.com/Suzanne-santo-afraid-of-heights-lyrics,https://images.genius.com/5d9d6d4d9b8241980310ef28ef0a82a7.999x999x1.png
3508267,Aibohphobia,6496,2018-05-04,,Can’t Wake Up ,,https://genius.com/Shakey-graves-aibohphobia-lyrics,https://images.genius.com/6c110ccb06ce3ca55636c4ee76a9ff20.1000x1000x1.jpg
1784125,"Alexander, City Born",,2012-12-14,,Donor Blues EP,,https://genius.com/Shakey-graves-alexander-city-born-lyrics,https://images.genius.com/c18d9a2a9157ea66f0209f3315ae0b72.1000x1000x1.jpg
4981253,A World So Full of Love,,2019-06-25,,"The Next Waltz, Volume 2",,https://genius.com/Shakey-graves-a-world-so-full-of-love-lyrics,https://images.genius.com/2734a6fbdb3ba0830b92478fdb235c77.1000x1000x1.jpg
3508269,Backseat Driver,,2018-05-04,,Can’t Wake Up ,,https://genius.com/Shakey-graves-backseat-driver-lyrics,https://images.genius.com/6c110ccb06ce3ca55636c4ee76a9ff20.1000x1000x1.jpg
3508268,Big Bad Wolf,5002,2018-05-04,,Can’t Wake Up ,,https://genius.com/Shakey-graves-big-bad-wolf-lyrics,https://images.genius.com/6c110ccb06ce3ca55636c4ee76a9ff20.1000x1000x1.jpg
1943427,Big Time Nashville Star (Ft. Esmé Patterson),,2014-10-07,,And the War Came,,https://genius.com/Shakey-graves-big-time-nashville-star-lyrics,https://images.genius.com/2f637d52fa5d482ab357efa635b8d924.1000x891x1.jpg
2015182,Big time nashville star - live from spotify sxsw 2014 (feat. esme patterson),,,,,,https://genius.com/Shakey-graves-big-time-nashville-star-live-from-spotify-sxsw-2014-feat-esme-patterson-lyrics,https://images.genius.com/2c6e550cb8dd4044d6866d047499c06c.440x440x1.jpg
2981369,Bleed It On,,2017-02-09,,The Man From Taured,,https://genius.com/Shakey-graves-bleed-it-on-lyrics,https://images.genius.com/ed214218384b2e9cdcc191d50d47c715.540x540x1.jpg
1784111,Built to Roam,15592,,,Roll the Bones,,https://genius.com/Shakey-graves-built-to-roam-lyrics,https://images.genius.com/1badcb51add9671b483151e765782296.905x904x1.jpg
3508778,Built to Roam (Live at Levon's),,2016-02-09,,Live at Levon’s,,https://genius.com/Shakey-graves-built-to-roam-live-at-levons-lyrics,https://images.genius.com/7e2ab83ff4ad0d18728edf74fa609bbf.700x700x1.jpg
2455868,Bully's Lament,13039,2013-07-22,,,,https://genius.com/Shakey-graves-bullys-lament-lyrics,https://images.genius.com/2c6e550cb8dd4044d6866d047499c06c.440x440x1.jpg
6666205,Bully's Lament (feat. Isaac Gillespie & Morgan Heringer],,,,Roll The Bones X,,https://genius.com/Shakey-graves-bullys-lament-feat-isaac-gillespie-and-morgan-heringer-lyrics,https://images.genius.com/fe2f02f9e49dec8f1411594c18168fdc.1000x1000x1.jpg
1784116,Business Lunch,,2011-01-01,,Roll the Bones,,https://genius.com/Shakey-graves-business-lunch-lyrics,https://images.genius.com/1badcb51add9671b483151e765782296.905x904x1.jpg
1979683,Call It Heaven (Ft. Esmé Patterson),7773,2014-10-07,,And the War Came,,https://genius.com/Shakey-graves-call-it-heaven-lyrics,https://images.genius.com/2f637d52fa5d482ab357efa635b8d924.1000x891x1.jpg
3099533,Call It Heaven Demo (ft. Esmé Patterson) (Ft. Esmé Patterson),,2017-02-09,,The Man From Taured,,https://genius.com/Shakey-graves-call-it-heaven-demo-ft-esme-patterson-lyrics,https://images.genius.com/ed214218384b2e9cdcc191d50d47c715.540x540x1.jpg
7015384,Cheers,,2021-07-13,,,,https://genius.com/Shakey-graves-cheers-lyrics,https://images.genius.com/2c6e550cb8dd4044d6866d047499c06c.440x440x1.jpg
