id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
207482,Ain't Nobody's Problem,10725,2012-04-03,4,The Lumineers,,https://genius.com/The-lumineers-aint-nobodys-problem-lyrics,https://images.genius.com/c92a0ba37f4230bafebebe6572ffa89b.1000x1000x1.jpg
2419369,Angela,157586,2016-04-08,24,Cleopatra,,https://genius.com/The-lumineers-angela-lyrics,https://images.genius.com/5b1c3e778a28a8a5ed8ba8903e2d3978.1000x1000x1.jpg
4447681,April,16026,2019-09-13,,III,,https://genius.com/The-lumineers-april-lyrics,https://images.genius.com/7a5c11b5d9787805475737e2ec4141ed.1000x1000x1.jpg
178442,Big Parade,29301,2012-04-03,8,The Lumineers,,https://genius.com/The-lumineers-big-parade-lyrics,https://images.genius.com/c92a0ba37f4230bafebebe6572ffa89b.1000x1000x1.jpg
2117443,Big parade - friends chapel sessions,,,,,,https://genius.com/The-lumineers-big-parade-friends-chapel-sessions-lyrics,https://images.genius.com/0cae0f480a91b8253a271926c381cc3c.300x300x1.png
2922899,Blue Christmas,15550,2016-12-02,,A Bad Moms Christmas (Original Motion Picture Soundtrack),,https://genius.com/The-lumineers-blue-christmas-lyrics,https://images.genius.com/c32689de1755de9f7f2d68855d9dfb8a.600x600x1.jpg
2870595,Boots of Spanish Leather,8520,2016-09-30,,Cleopatra,,https://genius.com/The-lumineers-boots-of-spanish-leather-lyrics,https://images.genius.com/f4aae0e30d5c82a5f245939335037535.600x600x1.jpg
6752559,Caves,6146,2021-04-27,,Amerikinda: 20 Years of Dualtone,,https://genius.com/The-lumineers-caves-lyrics,https://images.genius.com/5864899b16c28d1363debf8b3b4f3e04.640x640x1.jpg
178434,Charlie Boy,33164,2012-04-03,14,The Lumineers,,https://genius.com/The-lumineers-charlie-boy-lyrics,https://images.genius.com/c92a0ba37f4230bafebebe6572ffa89b.1000x1000x1.jpg
178433,Classy Girls,23734,2009-12-19,3,The Lumineers EP,,https://genius.com/The-lumineers-classy-girls-lyrics,https://images.genius.com/c92a0ba37f4230bafebebe6572ffa89b.1000x1000x1.jpg
