id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
3384830,30 Minutes with Mathew Saville,,2010-05-27,,Innerspeaker (Collector’s Edition),,https://genius.com/Tame-impala-30-minutes-with-mathew-saville-lyrics,https://images.genius.com/d5c4e48d638fb622d61116bdfd0a6a62.287x287x1.jpg
3384832,41 Mojitos (Canyons Poolside Dub),,2011-05-27,1,Innerspeaker (Collector’s Edition),,https://genius.com/Tame-impala-41-mojitos-canyons-poolside-dub-lyrics,https://images.genius.com/d5c4e48d638fb622d61116bdfd0a6a62.287x287x1.jpg
6659468,41 Mojitos Poolside Dub,,,,Innerspeaker B-Sides & Remixes - EP,,https://genius.com/Tame-impala-41-mojitos-poolside-dub-lyrics,https://images.genius.com/b012687da20a80431dc38ed8794cc462.287x287x1.jpg
1044820,41 Mosquitoes Flying in Formation,7401,2008-10-11,4,Tame Impala EP,,https://genius.com/Tame-impala-41-mosquitoes-flying-in-formation-lyrics,https://images.genius.com/5a0aa7e7ea6d9f7cc684663b0a8121d6.300x300x1.jpg
6272447,A Girl Like You (triple j Like A Version),,2020-12-10,,,,https://genius.com/Tame-impala-a-girl-like-you-triple-j-like-a-version-lyrics,https://images.genius.com/7b8356257c83b58cd5f07795d448f25b.1000x1000x1.jpg
456417,Alter Ego,64617,2010-05-21,20,Innerspeaker,,https://genius.com/Tame-impala-alter-ego-lyrics,https://images.genius.com/7c2121b6ffa8bd148e9012d158bde004.600x600x1.jpg
3078530,Angel,,2013-03-24,,,,https://genius.com/Tame-impala-angel-lyrics,https://images.genius.com/1dfe83ddc959252410da026ac5c09a22.1000x563x1.jpg
136103,Apocalypse Dreams,106417,2012-10-05,37,Lonerism ,,https://genius.com/Tame-impala-apocalypse-dreams-lyrics,https://images.genius.com/f2ae2a6e2a0a8dca8a6a1f0b929de20b.750x750x1.jpg
4104964,Apocalypse Dreams - Live,,2014-04-19,,Live Versions,,https://genius.com/Tame-impala-apocalypse-dreams-live-lyrics,https://images.genius.com/5cadcf210a2a88085b2544f1a36b328a.600x600x1.jpg
2930714,Are You A Hypnotist,,2013-10-29,,Peace and Paranoia Tour 2013,,https://genius.com/Tame-impala-are-you-a-hypnotist-lyrics,https://images.genius.com/93ee1e5da47e1d21479a9b3b8f3c2b55.1000x997x1.jpg
3989565,Back Together (Ft. Tame Impala),23183,,4,,,https://genius.com/Sza-back-together-lyrics,https://images.genius.com/d72d06a449b2ad3e48a84387e9c8dd4d.421x421x1.jpg
376444,Backwards (Ft. Tame Impala),69307,2014-03-07,174,Divergent (Original Motion Picture Soundtrack),,https://genius.com/Kendrick-lamar-backwards-lyrics,https://images.genius.com/8c5fad4463f0a5361ac28f8a586d346b.600x600x1.jpg
132479,Be Above It,43424,2012-10-05,15,Lonerism ,,https://genius.com/Tame-impala-be-above-it-lyrics,https://images.genius.com/ce396f80a55e764c3fe03da68343bd4a.1000x1000x1.jpg
2069291,Be Above It (Erol Alkan Rework),,,,,,https://genius.com/Tame-impala-be-above-it-erol-alkan-rework-lyrics,https://images.genius.com/f73d69907a11dc5a520a2d1339627966.608x608x1.jpg
4104962,Be Above It - Live,,2014-04-19,,Live Versions,,https://genius.com/Tame-impala-be-above-it-live-lyrics,https://images.genius.com/5cadcf210a2a88085b2544f1a36b328a.600x600x1.jpg
521387,Beverly Laurel,29589,2012-10-05,3,Lonerism ,,https://genius.com/Tame-impala-beverly-laurel-lyrics,https://images.genius.com/ce396f80a55e764c3fe03da68343bd4a.1000x1000x1.jpg
5227740,Black Impala,,2019-05-15,,,,https://genius.com/Bbymutha-black-impala-lyrics,https://images.genius.com/34a49c6831dcd5658b93e9a35d0eaaf6.1000x1000x1.jpg
3168466,Bonnie & Clyde,,,,,,https://genius.com/Tame-impala-bonnie-and-clyde-lyrics,https://images.genius.com/7b8356257c83b58cd5f07795d448f25b.1000x1000x1.jpg
5110643,Borderline,174807,2020-02-14,9,The Slow Rush,,https://genius.com/Tame-impala-borderline-lyrics,https://images.genius.com/a74051159decca8ebdbba7c499616e3f.1000x1000x1.jpg
5992636,Borderline (Blood Orange Remix),,2020-09-25,,,,https://genius.com/Tame-impala-borderline-blood-orange-remix-lyrics,https://images.genius.com/faf61fbc53e87a6ce72b485a87d501d3.1000x1000x1.jpg
4911508,Borderline (Live from Saturday Night Live / 2019),,2019-03-31,1,,,https://genius.com/Tame-impala-borderline-live-from-saturday-night-live-2019-lyrics,https://images.genius.com/a5e8727556fc5c79bbaeb8f159ab16ac.825x825x1.jpg
4434584,Borderline (Single Version),389936,2019-04-12,31,"triple j’s Hottest 100, Vol. 27",,https://genius.com/Tame-impala-borderline-single-version-lyrics,https://images.genius.com/d28bc8b1ff16abf7263fb37edbc98e80.1000x1000x1.png
5108762,Breathe Deeper,173854,2020-02-14,23,The Slow Rush,,https://genius.com/Tame-impala-breathe-deeper-lyrics,https://images.genius.com/a74051159decca8ebdbba7c499616e3f.1000x1000x1.jpg
5457379,Call My Phone Thinking I'm Doing Nothing Better,13269,2020-04-13,2,None of Us Are Getting Out of This Life Alive,,https://genius.com/The-streets-and-tame-impala-call-my-phone-thinking-im-doing-nothing-better-lyrics,https://images.genius.com/39b011059321443a8530afab034fd9f4.640x640x1.jpg
2093857,Canyons Sunrise Reprise,,2011-05-27,1,Innerspeaker (Collector’s Edition),,https://genius.com/Tame-impala-canyons-sunrise-reprise-lyrics,https://images.genius.com/d5c4e48d638fb622d61116bdfd0a6a62.287x287x1.jpg
740367,'Cause I'm a Man,277050,2015-04-05,60,Currents,,https://genius.com/Tame-impala-cause-im-a-man-lyrics,https://images.genius.com/c28245cb5441c3e1179783d65622ea31.800x800x1.jpg
6991999,'Cause I'm A Man (HAIM Remix),,2015-08-06,,,,https://genius.com/Tame-impala-cause-im-a-man-haim-remix-lyrics,https://images.genius.com/3048b57921c69fdacb6f8635681d9d1b.640x640x1.jpg
1155412,Children of the Moon (Ft. Tame Impala),,2012-04-21,2,The Flaming Lips and Heady Fwends,,https://genius.com/The-flaming-lips-children-of-the-moon-lyrics,https://images.genius.com/5a846765260c9eb190bbb4d5d1e0a790.1000x1000x1.jpg
3313569,Confide in Me,,2015-11-13,,triple j Like A Version 12,,https://genius.com/Tame-impala-confide-in-me-lyrics,https://images.genius.com/a0cd1d684cf32a57f2e364f53867d1ed.960x960x1.jpg
4785857,DC30,,,,,,https://genius.com/Tame-impala-dc30-lyrics,https://images.genius.com/cf056d4c8d6712203e2c7af817b6ab5d.631x631x1.png
251009,Desire Be Desire Go,37973,2008-10-11,6,Innerspeaker,,https://genius.com/Tame-impala-desire-be-desire-go-lyrics,https://images.genius.com/7c2121b6ffa8bd148e9012d158bde004.600x600x1.jpg
4104960,Desire Be Desire Go - Live,,2014-04-19,,Live Versions,,https://genius.com/Tame-impala-desire-be-desire-go-live-lyrics,https://images.genius.com/5cadcf210a2a88085b2544f1a36b328a.600x600x1.jpg
7003627,Desire Be Desire Go (original version),,2008-01-01,,,,https://genius.com/Tame-impala-desire-be-desire-go-original-version-lyrics,https://images.genius.com/ea3d6528a6113bd2b19800193866007c.220x220x1.jpg
1780161,Disciples,128925,2015-04-29,15,Currents,,https://genius.com/Tame-impala-disciples-lyrics,https://images.genius.com/f4ae44412c0ad22c19d6135e42147cc8.800x800x1.jpg
93233,Elephant,175951,2012-10-20,37,Lonerism ,,https://genius.com/Tame-impala-elephant-lyrics,https://images.genius.com/985df1f9343f7c93f471ff8b8726edc3.750x750x1.jpg
