id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
2387975,100 Million (Ft. Mac DeMarco),7739,2015-09-15,2,Palana,,https://genius.com/Charlie-hilton-100-million-lyrics,https://images.genius.com/d0f5089788d4dd2943590e6369f3d9a3.1000x1000x1.jpg
1032806,106.2 Breeze FM,,2012-03-13,,Rock and Roll Night Club,,https://genius.com/Mac-demarco-1062-breeze-fm-lyrics,https://images.genius.com/b66a7c5a517284fbe127562b5f091b7a.1000x1000x1.jpg
4947945,136ye,,,,,,https://genius.com/Sdsp-mark-136ye-lyrics,https://assets.genius.com/images/default_cover_image.png?1628811341
2905545,4 my depressed homies,,2016-05-21,3,,,https://genius.com/Nascar-aloe-4-my-depressed-homies-lyrics,https://images.genius.com/7bbec10ea27db76b014fc914d3770ff5.500x500x1.jpg
2207200,96.7 the Pipe,,2012-03-13,1,Rock and Roll Night Club,,https://genius.com/Mac-demarco-967-the-pipe-lyrics,https://images.genius.com/b66a7c5a517284fbe127562b5f091b7a.1000x1000x1.jpg
4105331,A (Demo) Heart Like Hers,,2015-12-04,,Another (Demo) One,,https://genius.com/Mac-demarco-a-demo-heart-like-hers-lyrics,https://images.genius.com/bf269673f92dd3604e8331ae0feb9c48.1000x1000x1.jpg
2171776,A Heart Like Hers,52033,2015-08-07,10,Another One,,https://genius.com/Mac-demarco-a-heart-like-hers-lyrics,https://images.genius.com/0347296ac9f36bcf37a764921137b6e9.1000x1000x1.jpg
4366997,All of Our Yesterdays,26718,2019-04-02,11,Here Comes the Cowboy,,https://genius.com/Mac-demarco-all-of-our-yesterdays-lyrics,https://images.genius.com/a7ddbb793ff659db02588b99e7186ecb.1000x1000x1.jpg
5437853,All of Our Yesterdays (Demo),,,,Here Comes the Cowboy Demos ,,https://genius.com/Mac-demarco-all-of-our-yesterdays-demo-lyrics,https://images.genius.com/2a9ebf1685f4e5cddf749112c0ccf172.1000x1000x1.png
5917709,Amp Rental,,2020-08-29,,Other Here Comes The Cowboy Demos,,https://genius.com/Mac-demarco-amp-rental-lyrics,https://images.genius.com/8ae2b516adbc8b0f2502df27371fec61.1000x1000x1.jpg
1800058,Annie,18737,2012-10-16,4,2,,https://genius.com/Mac-demarco-annie-lyrics,https://images.genius.com/985c86024ca1570dec2d904c527b0ec8.800x800x1.jpg
3815957,Annie (Demo),,2013-08-31,,2 Demos,,https://genius.com/Mac-demarco-annie-demo-lyrics,https://images.genius.com/3ea00a2bc1111ca3a27b86f6b254d0ed.1000x1000x1.jpg
3768126,Annie (Live),,2013-12-14,,"Live & Acoustic, Vol. 1",,https://genius.com/Mac-demarco-annie-live-lyrics,https://images.genius.com/16474cf4e352edeccf2418ac8c2d80a9.268x268x1.jpg
4105334,Another (Demo) One #1,,2015-12-04,,Another (Demo) One,,https://genius.com/Mac-demarco-another-demo-one-1-lyrics,https://images.genius.com/bf269673f92dd3604e8331ae0feb9c48.1000x1000x1.jpg
4105335,Another (Demo) One #2,,2015-12-04,,Another (Demo) One,,https://genius.com/Mac-demarco-another-demo-one-2-lyrics,https://images.genius.com/bf269673f92dd3604e8331ae0feb9c48.1000x1000x1.jpg
2129782,Another One,138427,2015-06-16,26,Another One,,https://genius.com/Mac-demarco-another-one-lyrics,https://images.genius.com/0347296ac9f36bcf37a764921137b6e9.1000x1000x1.jpg
4105366,At Ron's Bris,,2015-12-04,,Another (Demo) One,,https://genius.com/Mac-demarco-at-rons-bris-lyrics,https://images.genius.com/bf269673f92dd3604e8331ae0feb9c48.1000x1000x1.jpg
4105225,Avocado Andrew,,2014-06-17,,Salad Days Demos,,https://genius.com/Mac-demarco-avocado-andrew-lyrics,https://images.genius.com/d98996a788e0118552594cc90c480093.1000x1000x1.jpg
2995474,A Wolf Who Wears Sheeps Clothes,31624,2017-05-05,2,This Old Dog,,https://genius.com/Mac-demarco-a-wolf-who-wears-sheeps-clothes-lyrics,https://images.genius.com/e016d633816ada4c55a26832da91f2f4.1000x1000x1.jpg
4105367,B^),,2015-12-04,,Another (Demo) One,,https://genius.com/Mac-demarco-b-lyrics,https://images.genius.com/bf269673f92dd3604e8331ae0feb9c48.1000x1000x1.jpg
4366999,Baby Bye Bye,10292,2019-05-10,,Here Comes the Cowboy,,https://genius.com/Mac-demarco-baby-bye-bye-lyrics,https://images.genius.com/a7ddbb793ff659db02588b99e7186ecb.1000x1000x1.jpg
5437855,Baby Bye Bye (Demo),,,,Here Comes the Cowboy Demos ,,https://genius.com/Mac-demarco-baby-bye-bye-demo-lyrics,https://images.genius.com/2a9ebf1685f4e5cddf749112c0ccf172.1000x1000x1.png
474062,Baby's Wearing Blue Jeans,15178,2012-03-13,3,Rock and Roll Night Club,,https://genius.com/Mac-demarco-babys-wearing-blue-jeans-lyrics,https://images.genius.com/b66a7c5a517284fbe127562b5f091b7a.1000x1000x1.jpg
2995462,Baby You're Out,41566,2017-05-05,1,This Old Dog,,https://genius.com/Mac-demarco-baby-youre-out-lyrics,https://images.genius.com/e016d633816ada4c55a26832da91f2f4.1000x1000x1.jpg
6730321,Bad no other heart cover,,2020-01-01,,,,https://genius.com/Gonsof9th-bad-no-other-heart-cover-lyrics,https://images.genius.com/840c4b19b52a6ea71d53f95afdcbca4c.500x500x1.jpg
2405671,Because I'm a Boy,10121,2017-05-05,,,,https://genius.com/Mac-demarco-because-im-a-boy-lyrics,https://images.genius.com/236fc3499910246289a7294b192f1f03.1000x1000x1.jpg
2499135,Because I'm a Boy,,2010-01-01,1,Eating Like A Kid,,https://genius.com/Makeout-videotape-because-im-a-boy-lyrics,https://images.genius.com/52321e60158c3ae3c208c480f939a82b.1000x1000x1.jpg
3704844,BEIXINQIAO,,,,"VÄRMEN AVTAR, LJUSET UPPHÖR",,https://genius.com/Juvel-christensen-beixinqiao-lyrics,https://images.genius.com/74476320d34dd0c2cc0bcae6090e2f66.700x700x1.jpg
409674,Blue Boy,83981,2014-04-01,18,Salad Days,,https://genius.com/Mac-demarco-blue-boy-lyrics,https://images.genius.com/d4b59741cea7f40c7c298d68211236c4.608x608x1.jpg
