id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
2282470,A Little Brighter (Ft. Chance Waters & KiKi),,,,This Way To Elsewhere,,https://genius.com/Mind-over-matter-a-little-brighter-lyrics,https://images.genius.com/ce7fab837faedf38ed77b2b88960717f.1000x1000x1.jpg
2010821,Bonnie (Ft. The Griswolds),,2013-11-29,,,,https://genius.com/Chance-waters-bonnie-lyrics,https://images.genius.com/875ba7c7c5d55bbac1298b86f6732acf.500x500x1.jpg
192019,Conjure Up A Fire (Ft. Kate Martin),,,,Infinity,,https://genius.com/Chance-waters-conjure-up-a-fire-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
6922706,Feel Alright (Interlude),,2012-11-02,,Infinity,,https://genius.com/Chance-waters-feel-alright-interlude-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
337162,Infinity,,2012-11-02,,Infinity,https://open.spotify.com/track/7KMIYmJ196iV4pDbO8QJKB,https://genius.com/Chance-waters-infinity-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
7043304,Infinity (Reprise),,,,Infinity,,https://genius.com/Chance-waters-infinity-reprise-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
3649662,Inkstains,,,,Inkstains,,https://genius.com/Chance-waters-inkstains-lyrics,https://images.genius.com/2aab8e4670bd5df68e7831d93f9d783e.683x600x1.jpg
213615,Little Lion Man (Mumford and Sons Cover),,,2,,,https://genius.com/Chance-waters-little-lion-man-mumford-and-sons-cover-lyrics,https://images.genius.com/963e5d093e0086bf70ab1e17aecef269.640x640x1.jpg
107355,Maybe Tomorrow (Ft. Lilian Blue),,,,Infinity,https://open.spotify.com/track/2Pmc48JIfefFLgwXaOQhKh,https://genius.com/Chance-waters-maybe-tomorrow-lyrics,https://images.genius.com/b67d88ec5af3d3979b1fc8c246e00a30.640x640x1.jpg
2001252,Neverland,,,,Infinity,,https://genius.com/Chance-waters-neverland-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
3158951,Proud,,2008-06-07,,Keepin’ It Breezy,,https://genius.com/Mind-over-matter-proud-lyrics,https://images.genius.com/82199dcbeb311d9d37e8e034a9c3ade8.600x595x1.jpg
4070405,Rapper Tag #34,,2011-01-01,,Rapper Tag Australia,,https://genius.com/Chance-waters-rapper-tag-34-lyrics,https://images.genius.com/a9d428ccb7dfc527ef3dd74c1bf29521.225x75x1.jpg
2373582,Stars Don't Shine (Ft. Esther Sparkes),,2015-05-14,1,Stars Don’t Shine (single),,https://genius.com/Chance-waters-stars-dont-shine-lyrics,https://images.genius.com/963e5d093e0086bf70ab1e17aecef269.640x640x1.jpg
7043285,Success (Ft. Paris Wells),,2012-11-01,,Infinity,,https://genius.com/Chance-waters-success-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
6922763,Tears for Gotham,,2012-11-02,,Infinity,,https://genius.com/Chance-waters-tears-for-gotham-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
3649554,"The Catchy Song (Ft. 360, Joyride & Smizzy)",,,,Inkstains,,https://genius.com/Chance-waters-the-catchy-song-lyrics,https://images.genius.com/2aab8e4670bd5df68e7831d93f9d783e.683x600x1.jpg
7043187,The Little Things (Ft. Rainbow Chan),,,,Infinity,,https://genius.com/Chance-waters-the-little-things-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
397470,The Ticket Inspector,,2014-03-07,,,,https://genius.com/Chance-waters-the-ticket-inspector-lyrics,https://images.genius.com/6f1164c1e826b530335db7c498b5a377.630x630x1.jpg
7043237,Wedding Ring (Ft. Coptic Soldier & Smizzy),,,,Infinity,,https://genius.com/Chance-waters-wedding-ring-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
1961945,We left,,,,Infinity,,https://genius.com/Chance-waters-we-left-lyrics,https://images.genius.com/e744e2c5370eb11a75af1843407a7b47.640x640x1.jpg
3132692,Young and Dumb (Ft. Bertie Blackman),,,,Infinity,,https://genius.com/Chance-waters-young-and-dumb-lyrics,https://images.genius.com/a317fba2aeaefec7c38f9584671f0b0b.960x960x1.jpg
