id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
3686870,01 Bring Em Out (Ft. Drake Bell),,2005-12-20,,Bring Em Out EP,,https://genius.com/Hawk-nelson-01-bring-em-out-lyrics,https://images.genius.com/34f1471e661ec4f00d5e7560608cb0b8.1000x1000x1.jpg
4712449,14U,,2008-03-18,,Nashville Sessions EP,,https://genius.com/Drake-bell-14u-lyrics,https://images.genius.com/a3ff57dbdf6ea69faeeb939f0384b9f0.300x300x1.jpg
6137531,800dj cloud,,2020-08-26,,Very Slimy Mashups Vol. 7: Very HYPER Mashups,,https://genius.com/Daytonabandcamp-800dj-cloud-lyrics,https://images.genius.com/692b49ed53bf2b66b0c3630c017e93a1.1000x1000x1.jpg
5142139,All Alone At The Disco,,2019-12-31,,,,https://genius.com/Drake-bell-all-alone-at-the-disco-lyrics,https://images.genius.com/98b6a353a3c2bf8dc5a3557af991eed1.599x600x1.jpg
5282795,All the Days of my Life,,2020-02-21,,The Lost Album,,https://genius.com/Drake-bell-all-the-days-of-my-life-lyrics,https://images.genius.com/b17888fb8d68262080ee10dd5631d1d6.1000x1000x1.jpg
682444,Back of My Hand,,2014-04-22,11,"Ready, Steady, Go!",,https://genius.com/Drake-bell-back-of-my-hand-lyrics,https://images.genius.com/a334c38a5c458ea12afd4c9c4b85e2fc.1000x1000x1.jpg
1618307,Big Shot,,2011-06-28,1,A Reminder,,https://genius.com/Drake-bell-big-shot-lyrics,https://images.genius.com/431020878e090d59c22bfea6e445c4cb.220x220x1.jpg
680968,Bitchcraft (Ft. Brian Setzer),,2014-01-28,50,"Ready, Steady, Go!",,https://genius.com/Drake-bell-bitchcraft-lyrics,https://images.genius.com/a334c38a5c458ea12afd4c9c4b85e2fc.1000x1000x1.jpg
1595261,Break Me Down,,2006-12-05,,It’s Only Time,,https://genius.com/Drake-bell-break-me-down-lyrics,https://images.genius.com/06d2c081f0536731372ef7d3f2cea3d0.316x316x1.jpg
1408877,Bring 'Em Out,8525,,,"Smile, It’s the End of the World",,https://genius.com/Hawk-nelson-bring-em-out-lyrics,https://images.genius.com/f71d48394213d1a7e5681dd34cf27749.180x180x1.jpg
