id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
2056716,12 Feet Deep,36629,2014-06-17,5,Rose [EP],,https://genius.com/The-front-bottoms-12-feet-deep-lyrics,https://images.genius.com/8f9e549d47ece8d3e56bde77540cc611.900x900x1.jpg
2950025,12 Feet Deep [I Hate My Friends version],,,,I Hate My Friends,,https://genius.com/The-front-bottoms-12-feet-deep-i-hate-my-friends-version-lyrics,https://images.genius.com/c6cbbadddfa93d57293dfb934ccc2f12.600x600x1.jpg
2310981,2YL,16807,2015-09-18,2,Back on Top,https://open.spotify.com/track/2g7K7UFi5tVl8itvpFxYKH,https://genius.com/The-front-bottoms-2yl-lyrics,https://images.genius.com/326efb349912cc1ba494012374d41a2f.1000x1000x1.jpg
4108116,Allentown (Ft. The Front Bottoms),,2018-11-21,1,Allentown,,https://genius.com/Manchester-orchestra-allentown-lyrics,https://images.genius.com/0af64a2340f08b4e11c2526d586539d5.700x700x1.jpg
3257567,All For Your Sacrificial Ritual (Demo),,2016-09-13,,Back On Top Sessions (Demos),,https://genius.com/The-front-bottoms-all-for-your-sacrificial-ritual-demo-lyrics,https://images.genius.com/cef9786f8e066cf39ac8ac2e84c19023.429x429x1.jpg
6061221,All I Needed,,2020-10-16,,Fantasy,,https://genius.com/Whethan-and-the-front-bottoms-all-i-needed-lyrics,https://images.genius.com/206ba108d28a4b133a60c602586e4f4d.1000x1000x1.jpg
290242,Au Revoir (Adios),28181,2013-05-21,4,Talon of the Hawk,https://open.spotify.com/track/0stxKRK739g6X6Dorzh9a5,https://genius.com/The-front-bottoms-au-revoir-adios-lyrics,https://images.genius.com/43d83f340c69f32a58bc15ba5df096dc.1000x1000x1.jpg
575028,Awkward Conversations,20986,2014-06-17,1,Rose [EP],,https://genius.com/The-front-bottoms-awkward-conversations-lyrics,https://images.genius.com/8f9e549d47ece8d3e56bde77540cc611.900x900x1.jpg
452687,Backflip,20161,2013-05-21,3,Talon of the Hawk,https://open.spotify.com/track/7iOUzGFGcJt4rxvuUSCJyL,https://genius.com/The-front-bottoms-backflip-lyrics,https://images.genius.com/43d83f340c69f32a58bc15ba5df096dc.1000x1000x1.jpg
2224057,Backflip - Commentary,,,,,,https://genius.com/The-front-bottoms-backflip-commentary-lyrics,https://images.genius.com/f6394548762cc326989ffa369003e361.535x535x1.png
3227005,Bae,21843,2017-10-13,1,Going Grey,,https://genius.com/The-front-bottoms-bae-lyrics,https://images.genius.com/42c569367fe2f8334e34b523b1bcc534.1000x1000x1.jpg
450750,Bathtub,18252,2011-09-06,2,The Front Bottoms,https://open.spotify.com/track/7w2YsY9dpR5zWSUYzRtYxB,https://genius.com/The-front-bottoms-bathtub-lyrics,https://images.genius.com/6009fa0b1480c8b3e314a1c070168d09.1000x1000x1.jpg
523054,Be Nice To Me,67699,2014-06-17,9,Rose [EP],https://open.spotify.com/track/5dyUA8LLCsPPD9xTtE4XKz,https://genius.com/The-front-bottoms-be-nice-to-me-lyrics,https://images.genius.com/8f9e549d47ece8d3e56bde77540cc611.900x900x1.jpg
2950032,Be Nice To Me [I Hate My Friends version],,,,I Hate My Friends,,https://genius.com/The-front-bottoms-be-nice-to-me-i-hate-my-friends-version-lyrics,https://images.genius.com/c6cbbadddfa93d57293dfb934ccc2f12.600x600x1.jpg
3275281,Bonus Track 1,,2017-10-13,,Going Grey,,https://genius.com/The-front-bottoms-bonus-track-1-lyrics,https://images.genius.com/42c569367fe2f8334e34b523b1bcc534.1000x1000x1.jpg
3275291,Bonus Track 2,,2017-10-13,,Going Grey,,https://genius.com/The-front-bottoms-bonus-track-2-lyrics,https://images.genius.com/42c569367fe2f8334e34b523b1bcc534.1000x1000x1.jpg
2248687,Burn Harvard Burn,,,,,,https://genius.com/The-front-bottoms-burn-harvard-burn-lyrics,https://images.genius.com/f6394548762cc326989ffa369003e361.535x535x1.png
5732353,​bus beat,7012,2020-08-21,1,In Sickness & In Flames,,https://genius.com/The-front-bottoms-bus-beat-lyrics,https://images.genius.com/abe7cb9aa1111d55f1ef23b95a9f8016.638x638x1.jpg
5113183,​camouflage,8012,2019-12-20,,In Sickness & In Flames,,https://genius.com/The-front-bottoms-camouflage-lyrics,https://images.genius.com/b47b889d89d9abe83f4c12d18f0407ef.600x600x1.jpg
2452824,Carry Me Down The Street,,,,Brothers Can’t Be Friends [EP],,https://genius.com/The-front-bottoms-carry-me-down-the-street-lyrics,https://images.genius.com/35dc4c0340ea050e34eac7466324317b.466x466x1.jpg
2288444,Christians Vs. The Indians,,,1,My Grandma vs. Pneumonia,,https://genius.com/The-front-bottoms-christians-vs-the-indians-lyrics,https://images.genius.com/dfef49274e5c34bf21d925813c91266b.600x600x1.jpg
2149513,Cough It Out (Ft. A.W.),44282,2015-06-22,3,Back on Top,https://open.spotify.com/track/3K4y191l94wf2t43qafbdV,https://genius.com/The-front-bottoms-cough-it-out-lyrics,https://images.rapgenius.com/6ee5d75b925b63fe8026479cc96758f3.280x280x1.jpg
704245,Current Events,,,3,I Hate My Friends,,https://genius.com/The-front-bottoms-current-events-lyrics,https://images.genius.com/c6cbbadddfa93d57293dfb934ccc2f12.600x600x1.jpg
3227007,Don't Fill Up On Chips,31947,2017-10-13,1,Going Grey,,https://genius.com/The-front-bottoms-dont-fill-up-on-chips-lyrics,https://images.genius.com/42c569367fe2f8334e34b523b1bcc534.1000x1000x1.jpg
4030345,End of summer (now I know),,2018-10-19,2,,,https://genius.com/The-front-bottoms-end-of-summer-now-i-know-lyrics,https://images.genius.com/117b1123f1f30fb9d740f92212aff58c.640x640x1.jpg
5470105,​everyone blooms,13368,2020-04-17,2,In Sickness & In Flames,,https://genius.com/The-front-bottoms-everyone-blooms-lyrics,https://images.genius.com/861bf1f9cdeb14c771e74a2880ef5e4c.640x640x1.jpg
3227011,Everyone But You,24690,2017-10-13,3,Going Grey,,https://genius.com/The-front-bottoms-everyone-but-you-lyrics,https://images.genius.com/42c569367fe2f8334e34b523b1bcc534.1000x1000x1.jpg
939165,Everything I Own,17487,2013-05-21,1,Talon of the Hawk,https://open.spotify.com/track/0P1QdRPqhTQep5rsDczDoM,https://genius.com/The-front-bottoms-everything-i-own-lyrics,https://images.genius.com/43d83f340c69f32a58bc15ba5df096dc.1000x1000x1.jpg
2127082,Everything i own - commentary,,,,,,https://genius.com/The-front-bottoms-everything-i-own-commentary-lyrics,https://images.genius.com/f6394548762cc326989ffa369003e361.535x535x1.png
