id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
2837377,00000 Million,190127,2016-09-30,13,"22, A Million",,https://genius.com/Bon-iver-00000-million-lyrics,https://images.genius.com/c50f4bcf407bd18c52c2f391ba6f97d6.1000x1000x1.jpg
3539039,00000 Million (Spanish),,2016-09-30,,"22, A Million (Spanish)",,https://genius.com/Bon-iver-00000-million-spanish-lyrics,https://images.genius.com/592617e90a52c31a1e815e4b7fb37891.1000x1000x1.jpg
2837556,10 d E A T h b R E a s T ⚄ ⚄,78845,2016-09-30,4,"22, A Million",,https://genius.com/Bon-iver-10-d-e-a-t-h-b-r-e-a-s-t-lyrics,https://images.genius.com/35a1834b505d4f701231535ea7d86351.1000x1000x1.jpg
2837355,10 d E A T h b R E a s T ⚄ ⚄ [Extended Version],25457,2016-08-13,2,22/10,,https://genius.com/Bon-iver-10-d-e-a-t-h-b-r-e-a-s-t-extended-version-lyrics,https://images.genius.com/45ec2bfa0c29b29f4a090be4377c2498.1000x1000x1.jpg
2988751,10 d E A T h b R E a s T ⚄ ⚄ (Spanish),,2016-08-13,,"22, A Million (Spanish)",,https://genius.com/Bon-iver-10-d-e-a-t-h-b-r-e-a-s-t-spanish-lyrics,https://images.genius.com/592617e90a52c31a1e815e4b7fb37891.1000x1000x1.jpg
2837374,21 M♢♢N WATER,65304,2016-09-30,8,"22, A Million",,https://genius.com/Bon-iver-21-mn-water-lyrics,https://images.genius.com/a1fbd950c36d2c1ac9234393d4e1ae45.1000x1000x1.jpg
2837386,22 (OVER S∞∞N),176536,2016-09-30,6,"22, A Million",,https://genius.com/Bon-iver-22-over-sn-lyrics,https://images.genius.com/a868c8d5e67b16b7741b36da108e3323.640x640x1.jpg
2837318,22 (OVER S∞∞N) [Bob Moose Extended Cab Version],8249,2016-08-12,7,22/10,,https://genius.com/Bon-iver-22-over-sn-bob-moose-extended-cab-version-lyrics,https://images.genius.com/45ec2bfa0c29b29f4a090be4377c2498.1000x1000x1.jpg
2837372,29 #Strafford APTS,217712,2016-09-30,18,"22, A Million",,https://genius.com/Bon-iver-29-strafford-apts-lyrics,https://images.genius.com/42d4ce1980fb123937baabc79df1fd0f.1000x1000x1.jpg
3545011,29 #Strafford APTS (Spanish),,2016-09-30,,"22, A Million (Spanish)",,https://genius.com/Bon-iver-29-strafford-apts-spanish-lyrics,https://images.genius.com/592617e90a52c31a1e815e4b7fb37891.1000x1000x1.jpg
2837370,33 “GOD”,294442,2016-08-29,24,"22, A Million",,https://genius.com/Bon-iver-33-god-lyrics,https://images.genius.com/a7e26ed5d515371513ac7c0b2b75043d.1000x1000x1.jpg
2988779,33 “GOD” (Spanish),,2016-08-29,,"22, A Million (Spanish)",,https://genius.com/Bon-iver-33-god-spanish-lyrics,https://images.genius.com/592617e90a52c31a1e815e4b7fb37891.1000x1000x1.jpg
2837376,____45_____,78511,2016-09-30,4,"22, A Million",,https://genius.com/Bon-iver-45-lyrics,https://images.genius.com/ac8add8bc6a249978ffae4b15486b6c5.1000x1000x1.jpg
3539060,____45_____ (Spanish),,2016-09-30,,"22, A Million (Spanish)",,https://genius.com/Bon-iver-45-spanish-lyrics,https://images.genius.com/592617e90a52c31a1e815e4b7fb37891.1000x1000x1.jpg
2837373,666 ʇ,151675,2016-09-30,7,"22, A Million",,https://genius.com/Bon-iver-666-lyrics,https://images.genius.com/e0b1f4c69b78e24f34f83f1c56d7ef5d.1000x1000x1.jpg
2837369,715 - CRΣΣKS,356799,2016-09-30,21,"22, A Million",,https://genius.com/Bon-iver-715-crks-lyrics,https://images.genius.com/171036d445e5214a6782ed33ed26d3a4.1000x1000x1.jpg
3539106,715 - CRΣΣKS (Spanish),,2016-09-30,,"22, A Million (Spanish)",,https://genius.com/Bon-iver-715-crks-spanish-lyrics,https://images.genius.com/592617e90a52c31a1e815e4b7fb37891.1000x1000x1.jpg
3968514,89 (Unreleased),,,,,,https://genius.com/Bon-iver-89-unreleased-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
2837375,8 (circle),256982,2016-09-30,19,"22, A Million",,https://genius.com/Bon-iver-8-circle-lyrics,https://images.genius.com/fca8d120eb45fc279a0dcbddf4da2460.1000x1000x1.jpg
4086262,Amen (Pre Fight Prayer),19815,2018-11-16,3,Creed II: The Album,,https://genius.com/Mike-will-made-it-and-lil-wayne-amen-pre-fight-prayer-lyrics,https://images.genius.com/a482d648c4b21447ae97b6918b1210bd.1000x1000x1.jpg
69630,Ashes in the Air (Ft. Bon Iver),,2013-04-02,1,The Flaming Lips and Heady Fwends,,https://genius.com/The-flaming-lips-ashes-in-the-air-lyrics,https://images.genius.com/5a846765260c9eb190bbb4d5d1e0a790.1000x1000x1.jpg
5838252,AUATC,51805,2020-08-05,2,Bon Iver: Season Five,,https://genius.com/Bon-iver-auatc-lyrics,https://images.genius.com/7f605eb418fb1ae9124b1508d02c2e52.1000x1000x1.jpg
215120,Babys,9552,2009-01-20,,Blood Bank EP (10th Anniversary Edition),,https://genius.com/Bon-iver-babys-lyrics,https://images.genius.com/f480ff12930f006fe48fb600b62822bd.1000x1000x1.jpg
5199908,"Babys (Live from Eventim Apollo Hammersmith, London UK, Mar 4 2018)",,2020-03-27,,Blood Bank EP (10th Anniversary Edition),,https://genius.com/Bon-iver-babys-live-from-eventim-apollo-hammersmith-london-uk-mar-4-2018-lyrics,https://images.genius.com/985f146b2df785c3de00e6cbfc3da91d.600x600x1.jpg
133731,Beach Baby,99932,2009-01-20,18,Blood Bank EP (10th Anniversary Edition),,https://genius.com/Bon-iver-beach-baby-lyrics,https://images.genius.com/f480ff12930f006fe48fb600b62822bd.1000x1000x1.jpg
5199907,"Beach Baby (Live from The Bomb Factory, Dallas TX, Jan 23 2018)",,2020-03-26,,Blood Bank EP (10th Anniversary Edition),,https://genius.com/Bon-iver-beach-baby-live-from-the-bomb-factory-dallas-tx-jan-23-2018-lyrics,https://images.genius.com/985f146b2df785c3de00e6cbfc3da91d.600x600x1.jpg
80348,Beth/Rest,90692,2011-06-17,15,"Bon Iver, Bon Iver",,https://genius.com/Bon-iver-beth-rest-lyrics,https://images.genius.com/36798ee04281600652d25b18cc502502.1000x1000x1.jpg
1943079,Beth/Rest (Rare Book Room),,2012-10-16,,Beth/Rest,,https://genius.com/Bon-iver-beth-rest-rare-book-room-lyrics,https://images.genius.com/bbb175cfe6a29b84f9484b9ffa674fd9.315x315x1.jpg
2007122,Beth/Rest (Work Drugs Remix),,,,,,https://genius.com/Bon-iver-beth-rest-work-drugs-remix-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
98897,Blindsided,93440,2007-07-08,10,"For Emma, Forever Ago",,https://genius.com/Bon-iver-blindsided-lyrics,https://images.genius.com/2e921100b2c731bd92b63d9db4041bb9.1000x1000x1.jpg
54124,Blood Bank,127596,2009-01-20,29,Blood Bank EP (10th Anniversary Edition),,https://genius.com/Bon-iver-blood-bank-lyrics,https://images.genius.com/f480ff12930f006fe48fb600b62822bd.1000x1000x1.jpg
3420053,Blood Bank,,2013-06-25,,Daybreaker,,https://genius.com/Architects-blood-bank-lyrics,https://images.genius.com/0e1f84ddb67d4e5fd1fe45e9511206ac.1000x1000x1.jpg
5199906,"Blood Bank (Live From Ericsson Globe, Stockholm SE, Oct 31 2018)",,2020-01-21,,Blood Bank EP (10th Anniversary Edition),,https://genius.com/Bon-iver-blood-bank-live-from-ericsson-globe-stockholm-se-oct-31-2018-lyrics,https://images.genius.com/985f146b2df785c3de00e6cbfc3da91d.600x600x1.jpg
6478931,Blue Tulip (Okkervil River Cover),,,,,,https://genius.com/Bon-iver-blue-tulip-okkervil-river-cover-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
2278066,"Bon Iver, Bon Iver [Album Art + Tracklist]",,2011-06-17,,"Bon Iver, Bon Iver",,https://genius.com/Bon-iver-bon-iver-bon-iver-album-art-tracklist-annotated,https://images.genius.com/745f803cb77ad87d7fdbac572148ee13.900x900x1.jpg
90300,"Brackett, WI",8412,2009-02-16,5,Dark Was the Night,,https://genius.com/Bon-iver-brackett-wi-lyrics,https://images.genius.com/8553b7114a42285612a52f9ba5b57c2b.1000x1000x1.jpg
1862073,Bruised Orange (Chain of Sorrow),,2012-03-06,1,Towers,,https://genius.com/Bon-iver-bruised-orange-chain-of-sorrow-lyrics,https://images.genius.com/347978e28ce0e34509ad46063f939c81.600x600x1.jpg
54123,Calgary,72267,2011-06-17,14,"Bon Iver, Bon Iver",,https://genius.com/Bon-iver-calgary-lyrics,https://images.genius.com/83b4d9a03fca6759ad23cacb88d5752e.600x600x1.jpg
1971129,Calgary (Geography Remix),,,,,,https://genius.com/Bon-iver-calgary-geography-remix-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
1933102,Calgary (Matt McCaughan Remix),,,,,,https://genius.com/Bon-iver-calgary-matt-mccaughan-remix-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
6527833,Catalog of Unabashed Gratitude (Ft. Bon Iver),,2021-02-11,,,,https://genius.com/Ross-gay-catalog-of-unabashed-gratitude-annotated,https://images.genius.com/b027006463f45d5cc23b4ffd5d0be804.359x359x1.png
1382676,Come Talk to Me,,2011-04-17,1,Holocene,,https://genius.com/Bon-iver-come-talk-to-me-lyrics,https://images.genius.com/bad85019290c61363deb62bc69c7c9e0.1000x1000x1.jpg
3672876,Come Through,,,,,,https://genius.com/Bon-iver-come-through-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
3261823,Coming Down,6219,2012-03-15,,triple j Like a Version 8,,https://genius.com/Bon-iver-coming-down-lyrics,https://images.genius.com/bb4fcd7c4eb3becf46018786d48364fd.500x500x1.jpg
99060,Creature Fear,98188,2007-07-08,14,"For Emma, Forever Ago",,https://genius.com/Bon-iver-creature-fear-lyrics,https://images.genius.com/2e921100b2c731bd92b63d9db4041bb9.1000x1000x1.jpg
6707791,Darkest Night (Ft. Taylor Swift),,,,,,https://genius.com/Bon-iver-darkest-night-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
1857381,Down In The Willow Garden (Ft. Bon Iver),8806,2012-02-21,,Voice of Ages,,https://genius.com/The-chieftains-down-in-the-willow-garden-lyrics,https://images.genius.com/f53ddb4dc7af90e15690fe28627cff65.500x500x1.jpg
4085543,Do You Need Power? (Walk Out Music),7072,2018-11-16,,Creed II: The Album,,https://genius.com/Bon-iver-do-you-need-power-walk-out-music-lyrics,https://images.genius.com/a482d648c4b21447ae97b6918b1210bd.1000x1000x1.jpg
6260141,​evermore (Ft. Bon Iver),863992,2020-12-11,41,evermore,,https://genius.com/Taylor-swift-evermore-lyrics,https://images.genius.com/3e354c719fe236ab4a75adc6ea4c7fca.1000x1000x1.png
5793983,​exile (Ft. Bon Iver),2100539,2020-07-24,93,folklore,,https://genius.com/Taylor-swift-exile-lyrics,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png
6206234,​exile (the long pond studio sessions) (Ft. Bon Iver),,2020-11-25,,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],,https://genius.com/Taylor-swift-exile-the-long-pond-studio-sessions-lyrics,https://images.genius.com/ca8060b14c65d348d8f2994a6b0d0a94.600x600x1.jpg
4602639,Faith,64757,2019-07-11,3,"i,i",,https://genius.com/Bon-iver-faith-lyrics,https://images.genius.com/f7d1fdc32dccf25f8aeffcf757c21475.1000x1000x1.png
230435,Fall Creek Boy,,,,A Thousand Nights Without Sleep,,https://genius.com/Mikedz-fall-creek-boy-lyrics,https://images.genius.com/a69d69780d646e7f554fb4e93a66a381.230x230x1.jpg
91688,Fall Creek Boys Choir (Ft. Bon Iver),41400,2011-10-07,4,James Blake (Deluxe Edition),,https://genius.com/James-blake-fall-creek-boys-choir-lyrics,https://images.genius.com/6df9386b5d47be6746da8ef475584d4c.1000x1000x1.jpg
2425114,Fall Out of Heaven (Demo) (Ft. Bon Iver & The-Dream),19921,,4,,,https://genius.com/Kanye-west-fall-out-of-heaven-demo-lyrics,https://images.genius.com/ceccff1664c8a331b9fe2143381b6df7.639x639x1.jpg
6096638,Fanfare Bowl (Ft. Bon Iver),,,,,,https://genius.com/Kanye-west-fanfare-bowl-lyrics,https://images.genius.com/3fddd3aff8430a239c62be4cdd1a36d6.828x505x1.jpg
6098084,Fine Line (Ft. Bon Iver),,,1,,,https://genius.com/Kanye-west-fine-line-lyrics,https://images.genius.com/ceccff1664c8a331b9fe2143381b6df7.639x639x1.jpg
75139,Flume,213981,2007-07-08,25,"For Emma, Forever Ago",,https://genius.com/Bon-iver-flume-lyrics,https://images.genius.com/2e921100b2c731bd92b63d9db4041bb9.1000x1000x1.jpg
4904418,"""For Emma""",,2019-09-27,,THE SEPTEMBER SESSIONS,,https://genius.com/John-von-dawn-for-emma-lyrics,https://images.genius.com/7ce09d72f1eee4980c994f8ebff10505.1000x1000x1.jpg
90271,For Emma,237761,2007-07-08,37,"For Emma, Forever Ago",,https://genius.com/Bon-iver-for-emma-lyrics,https://images.genius.com/960c243abdb677668af048487006d497.600x616x1.jpg
2817345,Friends (Ft. Bon Iver & Kanye West),177144,2016-07-07,24,"Farewell, Starlite!",,https://genius.com/Francis-and-the-lights-friends-lyrics,https://images.genius.com/d8c9badf97e2dddc42fc0318e0e180f1.1000x1000x1.jpg
2420719,"Haven, Mass",6908,2016-02-06,4,Eaux Claires: Deux,,https://genius.com/Bon-iver-haven-mass-lyrics,https://images.rapgenius.com/011ecda9abf3e8bdba9d420a8190f21b.580x579x1.jpg
3532755,"Hayward, WI",,,,,,https://genius.com/Bon-iver-hayward-wi-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
465798,Heavenly Father,202561,2014-06-30,43,Wish I Was Here (Music From the Motion Picture),,https://genius.com/Bon-iver-heavenly-father-lyrics,https://images.genius.com/a161c95acb1f9730ea6382ceef54af49.1000x1000x1.jpg
4601887,"Hey, Ma",180033,2019-06-03,12,"i,i",,https://genius.com/Bon-iver-hey-ma-lyrics,https://images.genius.com/2158715386c7f57e42e1fe7f1cb83f54.1000x1000x1.png
5540481,"Hey, Ma (Demo) (Ft. Frank Ocean)",,,,,,https://genius.com/Bon-iver-hey-ma-demo-lyrics,https://images.genius.com/b79245d3c0348a214459e3f451ad7f52.1000x1000x1.jpg
99186,"Hinnom, TX",30373,2011-06-17,4,"Bon Iver, Bon Iver",,https://genius.com/Bon-iver-hinnom-tx-lyrics,https://images.genius.com/745f803cb77ad87d7fdbac572148ee13.900x900x1.jpg
