id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
316959,4 Billion Souls,,,,Full Circle,,https://genius.com/The-doors-4-billion-souls-lyrics,https://images.genius.com/f333f797a05a4b513e651dd4cac1e873.1000x1000x1.jpg
1138793,Adolph Hitler,,,1,,,https://genius.com/The-doors-adolph-hitler-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
467058,A Feast Of Friends,67182,1995-11-17,4,An American Prayer,,https://genius.com/Jim-morrison-a-feast-of-friends-lyrics,https://images.genius.com/29ba0846b0bcabdedda84a5e6ea0dfec.640x640x1.jpg
1723207,A Feast Of Friends,,,,,,https://genius.com/The-doors-a-feast-of-friends-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
2014546,"Alabama song - live in boston, 1970 1st show",,,,,,https://genius.com/The-doors-alabama-song-live-in-boston-1970-1st-show-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
1962519,Alabama Song [Whiskey Bar] - Live In Vancouver 1970,,,,,,https://genius.com/The-doors-alabama-song-whiskey-bar-live-in-vancouver-1970-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
68989,Alabama Song (Whisky Bar),101209,1967-01-01,10,The Doors,https://open.spotify.com/track/0JNZGIavoUrdup1NsgJOQs,https://genius.com/The-doors-alabama-song-whisky-bar-lyrics,https://images.genius.com/7db0213f648e90b5bfa68a4507222fd1.873x873x1.jpg
1983580,Alabama Song [Whisky Bar] - Live Hollywood Bowl 1968,,,,Live at the Bowl ’68,,https://genius.com/The-doors-alabama-song-whisky-bar-live-hollywood-bowl-1968-lyrics,https://images.genius.com/ece4984126400e21ee6c536b97fa31af.750x750x1.jpg
1582379,Albinoni's Adagio In G Minor (Bonus),,1968-07-03,,Waiting for the Sun,,https://genius.com/The-doors-albinonis-adagio-in-g-minor-bonus-lyrics,https://images.genius.com/5d7fe3c27b1f0c35c5cb91e6ee030b2d.1000x1000x1.jpg
1260801,A Little Game,5287,,,,,https://genius.com/The-doors-a-little-game-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
2116164,A little game - absolutely live version,,,,,,https://genius.com/The-doors-a-little-game-absolutely-live-version-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
316991,American Night,,1978-11-17,,An American Prayer,,https://genius.com/The-doors-american-night-lyrics,https://images.genius.com/29ba0846b0bcabdedda84a5e6ea0dfec.640x640x1.jpg
1386353,American Prayer,,,,,,https://genius.com/The-doors-american-prayer-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
511869,An American Prayer (Ft. The Doors),68715,1978-11-17,2,An American Prayer,,https://genius.com/Jim-morrison-an-american-prayer-lyrics,https://images.genius.com/1a00d0a0f655dd914e84e4eeb6193591.873x873x1.jpg
1836904,Angels and Sailors (Ft. The Doors),10171,1978-11-17,,An American Prayer,,https://genius.com/Jim-morrison-angels-and-sailors-lyrics,https://images.genius.com/1a00d0a0f655dd914e84e4eeb6193591.873x873x1.jpg
316951,Angels And Sailors,,1978-11-17,,An American Prayer,,https://genius.com/The-doors-angels-and-sailors-lyrics,https://images.genius.com/29ba0846b0bcabdedda84a5e6ea0dfec.640x640x1.jpg
316880,Awake,6451,1978-11-17,,An American Prayer,,https://genius.com/The-doors-awake-lyrics,https://images.genius.com/29ba0846b0bcabdedda84a5e6ea0dfec.640x640x1.jpg
917581,Awake Ghost Song,,,,,,https://genius.com/The-doors-awake-ghost-song-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
1712951,Away In India,,,,,,https://genius.com/The-doors-away-in-india-lyrics,https://images.genius.com/38fa7e8d413953545eb24a974b21847e.570x570x1.jpg
