id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
3440590,18,404337,2018-01-16,63,,,https://genius.com/Kris-wu-rich-brian-joji-trippie-redd-and-baauer-18-lyrics,https://images.genius.com/a65cc859c3a490f05b92b399cbad7fef.1000x1000x1.png
5953560,777,136115,2020-09-25,28,Nectar,,https://genius.com/Joji-777-lyrics,https://images.genius.com/79c6343980b4513f2c46813301da0dec.1000x1000x1.png
5953559,Afterthought,214859,2020-09-25,39,Nectar,,https://genius.com/Joji-and-benee-afterthought-lyrics,https://images.genius.com/79c6343980b4513f2c46813301da0dec.1000x1000x1.png
3294266,Amazonian Pet,16327,2017-10-27,3,Lost Instruments,,https://genius.com/Joji-amazonian-pet-lyrics,https://images.genius.com/36ea36178bca3d0dda385b8f2e9a56c2.1000x1000x1.jpg
3508977,"Am I High, No",,,,Boiler Room: Joji,,https://genius.com/Joji-am-i-high-no-lyrics,https://images.genius.com/f006d8ff38c87a188fedaf56c87a5555.768x768x1.png
3085536,​another ​time (Ft. ​duendita),,2017-04-17,,,,https://genius.com/Simon-eng-another-time-lyrics,https://images.genius.com/71a9980d731b18dfcbb5c646eae4ae78.500x500x1.jpg
3992511,ATTENTION,529269,2018-10-26,84,BALLADS 1,,https://genius.com/Joji-attention-lyrics,https://images.genius.com/1526140da0035a75a4530e88c36a457f.1000x1000x1.png
3088056,Beside You,,2017-05-13,,J.A.M. Vol. 1,,https://genius.com/Justpierre-beside-you-lyrics,https://images.genius.com/b8ebb7acd0482fd33200cdc7bfd6ed88.1000x1000x1.jpg
3301328,Besidju (Ft. Joji),12029,2016-05-05,7,,,https://genius.com/Shamana-besidju-lyrics,https://images.genius.com/d9bf15a21a49916410bc58bbfb39307d.1000x1000x1.jpg
3278999,Bitter Fuck,210207,2017-11-03,22,In Tongues (Deluxe),,https://genius.com/Joji-bitter-fuck-lyrics,https://images.genius.com/4944f88e4c5f57941bcda5dfc82841a1.1000x1000x1.png
3522418,Bitter Fuck (salute Remix),,2018-02-14,,In Tongues (Deluxe),,https://genius.com/Joji-bitter-fuck-salute-remix-lyrics,https://images.genius.com/84080d7741b5d5173a7f736a5bf87b3b.500x500x1.jpg
3929562,Breathe,58825,2019-09-12,10,Head in the Clouds II,,https://genius.com/88rising-joji-and-don-krez-breathe-lyrics,https://images.genius.com/b2da643a10ea5bb434f99f77e2242b44.640x640x1.jpg
3992026,CAN'T GET OVER YOU (Ft. Clams Casino),431500,2018-10-02,64,BALLADS 1,,https://genius.com/Joji-cant-get-over-you-lyrics,https://images.genius.com/4c16ebb76a6ecb1ffe04c4bbac788192.1000x1000x1.jpg
4480107,CAN'T GET OVER YOU (Channel Tres Remix),,2019-04-16,1,LOST BALLADS,,https://genius.com/Joji-cant-get-over-you-channel-tres-remix-lyrics,https://images.genius.com/a5a7454f3a87b9b269f755b71e7c3c71.1000x1000x1.jpg
4480106,CAN U HEAR ME,16460,2019-04-16,2,LOST BALLADS,,https://genius.com/Joji-can-u-hear-me-lyrics,https://images.genius.com/a5a7454f3a87b9b269f755b71e7c3c71.1000x1000x1.jpg
2964539,Cocaine,,2017-01-20,,,,https://genius.com/Geo-cocaine-lyrics,https://images.genius.com/2e08a5b16a5173da3b440210c08b6392.500x500x1.jpg
3992530,COME THRU,148699,2018-10-26,27,BALLADS 1,,https://genius.com/Joji-come-thru-lyrics,https://images.genius.com/1526140da0035a75a4530e88c36a457f.1000x1000x1.png
4484095,Cyber Police (Ft. Mike Diva),,2019-04-17,1,,,https://genius.com/Joji-cyber-police-lyrics,https://images.genius.com/adb4c28912364c06cfebad2fb3bf0784.1000x1000x1.png
5778070,Daylight,263397,2020-08-06,34,Nectar,,https://genius.com/Joji-and-diplo-daylight-lyrics,https://images.genius.com/dc8e9617322d25c27deac3a284a4d603.1000x1000x1.png
3278986,Demons,664986,2017-11-03,66,In Tongues (Deluxe),,https://genius.com/Joji-demons-lyrics,https://images.genius.com/4944f88e4c5f57941bcda5dfc82841a1.1000x1000x1.png
4163186,Demons – Joji,,2018-11-26,,YouTube Covers,,https://genius.com/Cavetown-demons-joji-lyrics,https://images.genius.com/938e256e981839a4b9475e40ea0e4f57.916x719x1.jpg
3522312,Demons (Lapalux Remix),,2018-02-14,,In Tongues (Deluxe),,https://genius.com/Joji-demons-lapalux-remix-lyrics,https://images.genius.com/6f1beb541a6ac415e0c8704e7aaa924a.500x500x1.jpg
3522317,Demons (Lunice Remix),,2018-02-14,,In Tongues (Deluxe),,https://genius.com/Joji-demons-lunice-remix-lyrics,https://images.genius.com/85326075f21d3f3a740f15d6e33a0952.1000x1000x1.jpg
3294249,Diamonds on My Dick,9923,2017-10-27,,Lost Instruments,,https://genius.com/Joji-diamonds-on-my-dick-lyrics,https://images.genius.com/36ea36178bca3d0dda385b8f2e9a56c2.1000x1000x1.jpg
4480060,DON'T U KNOW I LOVE U,15025,2019-04-16,4,LOST BALLADS,,https://genius.com/Joji-dont-u-know-i-love-u-lyrics,https://images.genius.com/6a681006a9d5ccac87dc45eece264539.873x873x1.jpg
7087334,Don't Understand,,2018-08-10,,The Shitty EP,,https://genius.com/Datnibba-dont-understand-lyrics,https://images.genius.com/b3de4a7e673f4db1ce1278d5d3604fda.720x720x1.jpg
5953541,Ew,356000,2020-09-25,89,Nectar,,https://genius.com/Joji-ew-lyrics,https://images.genius.com/79c6343980b4513f2c46813301da0dec.1000x1000x1.png
4065180,Fear & Misery,14686,2016-05-08,2,,,https://genius.com/Joji-fear-and-misery-lyrics,https://images.genius.com/d20ee1f900287060716f7594ccba7ea3.1000x1000x1.jpg
3738821,FeelTheRage (Ft. Joji & Night Lovell),8564,2018-03-29,3,,,https://genius.com/Lil-gnar-feeltherage-lyrics,https://images.genius.com/735bdeaf3ea31dcdad4a71c2c4234039.500x500x1.jpg
2440756,​foie [bump],17508,2016-02-24,2,,,https://genius.com/Joji-foie-bump-lyrics,https://images.genius.com/3d09f36a5bc620752d16a01fb8dbbd06.500x500x1.png
6142578,Forever,7033,2020-11-13,,RB1*,,https://genius.com/Rei-brown-forever-lyrics,https://images.genius.com/5dd1974082ef3e59ea0dd583af66b8c1.1000x1000x1.png
5817531,FTC,20689,2020-07-30,10,,,https://genius.com/Joji-ftc-lyrics,https://images.genius.com/5668c127f28bbb760fcebbb82b26eb81.360x360x1.png
5966220,Gates to the Sun,16129,2020-09-16,8,,,https://genius.com/Sahbabii-and-joji-gates-to-the-sun-lyrics,https://images.genius.com/7dc5eebbb2f9d0fcba0fc5449d7717de.1000x1000x1.jpg
5991356,​gimme cum (official remix),,2020-09-24,,,,https://genius.com/Joji-gimme-cum-official-remix-lyrics,https://images.genius.com/8aed3304e289c4cbdc7a384b646ae766.1000x999x1.png
5454249,Gimme Love,399574,2020-04-16,128,Nectar,,https://genius.com/Joji-gimme-love-lyrics,https://images.genius.com/0fcab8f4feeed31a3d7b07c207883e32.1000x1000x1.jpg
5678424,Gimme Love (Channel Tres Remix),,2020-06-17,,,,https://genius.com/Joji-gimme-love-channel-tres-remix-lyrics,https://images.genius.com/6f8d6115616a34c3ab3ea899e3cbc4db.1000x1000x1.jpg
6223906,Gimme Love (Live Band Version),,,,,,https://genius.com/Joji-gimme-love-live-band-version-lyrics,https://images.genius.com/d20ee1f900287060716f7594ccba7ea3.1000x1000x1.jpg
3706825,Head in the Clouds,169294,2018-07-20,32,Head in the Clouds,,https://genius.com/88rising-and-joji-head-in-the-clouds-lyrics,https://images.genius.com/e871e51bee0d344124e8e998bb7b4115.1000x1000x1.png
