id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
63119,09' Freestyle,15813,2009-04-22,9,Dat Kid From Cleveland,,https://genius.com/Kid-cudi-09-freestyle-lyrics,https://images.genius.com/1296191c98641182cc6ae0378210daf7.1000x1000x1.png
6250782,4 da Kidz,71035,2020-12-11,10,Man on the Moon III: The Chosen,,https://genius.com/Kid-cudi-4-da-kidz-lyrics,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png
6922871,4 da Kidz (Prime Day Show x Kid Cudi),,2021-06-17,,Prime Day Show x Kid Cudi,,https://genius.com/Kid-cudi-4-da-kidz-prime-day-show-x-kid-cudi-lyrics,https://images.genius.com/db4578a0b4af70ee0a7ab5700d776dcb.600x600x1.jpg
3720965,4th Dimension (Ft. Louis Prima),613467,2018-06-08,64,KIDS SEE GHOSTS,,https://genius.com/Kids-see-ghosts-4th-dimension-lyrics,https://images.genius.com/de6e7ab3dc06c13eed2f853493b1406e.1000x1000x1.jpg
6247,50 Ways to Make a Record,44185,2008-07-17,17,A Kid Named Cudi,,https://genius.com/Kid-cudi-50-ways-to-make-a-record-lyrics,https://images.genius.com/4fb504d5b4dda8a236c224bb1cc11e2a.800x800x1.jpg
6436704,8-Ball (Ft. Kid Cudi),30679,2021-07-16,6,Faith,,https://genius.com/Pop-smoke-8-ball-lyrics,https://images.genius.com/710d0df2a72a9b6f1ad6e4ee820809cd.1000x1000x1.png
3741692,"A$AP Forever REMIX (Ft. Kid Cudi, Moby & T.I.)",453527,2018-05-25,70,TESTING,,https://genius.com/A-ap-rocky-a-ap-forever-remix-lyrics,https://images.genius.com/7d087f87cf7a92422074baec582cb4d2.1000x1000x1.png
2375537,Adventures,63059,2015-12-04,9,Speedin’ Bullet 2 Heaven,,https://genius.com/Kid-cudi-adventures-lyrics,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg
133902,Afterwards (Bring Yo Friends) (Ft. King Chip & Michael Bolton),48659,2013-04-12,8,Indicud,,https://genius.com/Kid-cudi-afterwards-bring-yo-friends-lyrics,https://images.genius.com/699f98c18a6750dc382068fbcdbc0236.1000x1000x1.jpg
4937769,Alien (Demo) (Ft. Ant Clemons),13928,,1,,,https://genius.com/Kid-cudi-alien-demo-lyrics,https://images.genius.com/ed8110f936431abefe3f091051fc41df.518x518x1.jpg
