id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
4234640,Almost (Sweet Music),310194,2019-01-16,24,"Wasteland, Baby!",,https://genius.com/Hozier-almost-sweet-music-lyrics,https://images.genius.com/18bf94776bf34270106ef22f96fda342.563x563x1.jpg
2222620,Angel of Small Death and the Codeine Scene (BBC Live Version),,2014-12-19,,Oceans - EP,,https://genius.com/Seafret-angel-of-small-death-and-the-codeine-scene-bbc-live-version-lyrics,https://images.rapgenius.com/d04b307411bb4dee7aed1b7feb5c0adc.500x500x1.jpg
338674,Angel of Small Death & the Codeine Scene,318824,2014-09-19,57,Hozier,,https://genius.com/Hozier-angel-of-small-death-and-the-codeine-scene-lyrics,https://images.genius.com/37a6512b78d19a5874c55514ede5e5cc.1000x1000x1.jpg
436363,Arsonist's Lullabye,177812,2014-03-09,39,Hozier,,https://genius.com/Hozier-arsonists-lullabye-lyrics,https://images.genius.com/37a6512b78d19a5874c55514ede5e5cc.1000x1000x1.jpg
4235129,As It Was,112159,2019-03-01,9,"Wasteland, Baby!",,https://genius.com/Hozier-as-it-was-lyrics,https://images.genius.com/cb058937dbf925587aa3ece92adad380.1000x1000x1.jpg
4235134,Be,106738,2019-03-01,8,"Wasteland, Baby!",,https://genius.com/Hozier-be-lyrics,https://images.genius.com/cb058937dbf925587aa3ece92adad380.1000x1000x1.jpg
2531828,Better Love,54734,2016-06-16,13,,,https://genius.com/Hozier-better-love-lyrics,https://images.genius.com/2862cac668ba2f99a475fd25da9c3549.1000x1000x1.jpg
3123985,Blood,11309,,4,,,https://genius.com/Hozier-blood-lyrics,https://images.genius.com/4c271a8fb0b3f097ce5e94b822059a37.800x800x1.jpg
5716219,Bridge Over Troubled Water,,2020-06-27,1,,,https://genius.com/Hozier-bridge-over-troubled-water-lyrics,https://images.genius.com/4c271a8fb0b3f097ce5e94b822059a37.800x800x1.jpg
5055309,But the Wages,10131,,,,,https://genius.com/Hozier-but-the-wages-lyrics,https://images.genius.com/4c271a8fb0b3f097ce5e94b822059a37.800x800x1.jpg
5854134,Cherry Wine - Live (Ft. John T),,2020-08-07,,,,https://genius.com/John-t-cherry-wine-live-lyrics,https://images.genius.com/6ea8c0b093243bce6b734e014b8cca9a.640x640x1.jpg
338676,Cherry Wine (Live),644199,2013-07-03,94,Hozier,,https://genius.com/Hozier-cherry-wine-live-lyrics,https://images.genius.com/b5db864b6d00ac1291eadb530a20148d.1000x1000x1.jpg
6108457,Cosmic Love (Instagram Live),,,1,Hozier: Covers,,https://genius.com/Hozier-cosmic-love-instagram-live-lyrics,https://images.genius.com/4c271a8fb0b3f097ce5e94b822059a37.800x800x1.jpg
4201062,Devil,,,,,,https://genius.com/Hozier-devil-lyrics,https://images.genius.com/4c271a8fb0b3f097ce5e94b822059a37.800x800x1.jpg
4235135,Dinner & Diatribes,152038,2019-02-14,18,"Wasteland, Baby!",,https://genius.com/Hozier-dinner-and-diatribes-lyrics,https://images.genius.com/77779816593fe9ace9caf49f326baa09.440x440x1.jpg
5726084,Domino (Ft. Jools Holland & His Rhythm & Blues Orchestra),,2016-01-01,1,,,https://genius.com/Hozier-domino-lyrics,https://images.genius.com/4c271a8fb0b3f097ce5e94b822059a37.800x800x1.jpg
561281,Foreigner's God,134530,2014-09-19,19,Hozier,,https://genius.com/Hozier-foreigners-god-lyrics,https://images.genius.com/a3b353f1a5780b941e57ae90e0999672.1000x1000x1.jpg
