id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
147918,4th Dimensional Transition,13678,2007-10-02,3,Oracular Spectacular,,https://genius.com/Mgmt-4th-dimensional-transition-lyrics,https://images.genius.com/d74bc626bf9fa7966240dbd219e7ac56.1000x1000x1.jpg
179210,A Good Sadness,10235,2013-09-17,3,MGMT ,,https://genius.com/Mgmt-a-good-sadness-lyrics,https://images.genius.com/0d677c721cbd56bb797f47e85d40cf2f.1000x1000x1.jpg
6796244,A Good Sadness (µ-Ziq Remix),,2013-09-18,,,,https://genius.com/Mgmt-a-good-sadness-ziq-remix-lyrics,https://images.genius.com/3e3f3318d599016d599e076e5f743acb.944x944x1.jpg
144141,Alien Days,38701,2013-04-20,18,MGMT ,,https://genius.com/Mgmt-alien-days-lyrics,https://images.genius.com/2f485e7dd88e4811cf14af7c134dadb2.800x800x1.jpg
1425585,All We Ever Wanted Was Everything,,2011-10-03,,Late Night Tales: MGMT,,https://genius.com/Mgmt-all-we-ever-wanted-was-everything-lyrics,https://images.genius.com/0ed76f50e45cd53b2130d8366fdad03b.1000x1000x1.jpg
179310,An Orphan of Fortune,9635,2013-09-17,4,MGMT ,,https://genius.com/Mgmt-an-orphan-of-fortune-lyrics,https://images.genius.com/0d677c721cbd56bb797f47e85d40cf2f.1000x1000x1.jpg
1281338,Art Is Everywhere,,,,Fantastic Voyages,,https://genius.com/Mgmt-art-is-everywhere-lyrics,https://images.genius.com/a63feb7c7284cbb89a77efea118d52aa.599x600x1.jpg
179213,Astro-Mancy,6196,2013-09-17,1,MGMT ,,https://genius.com/Mgmt-astro-mancy-lyrics,https://images.genius.com/0d677c721cbd56bb797f47e85d40cf2f.1000x1000x1.jpg
5092931,As You Move Through the World,5316,2020-03-20,,In the Afternoon,,https://genius.com/Mgmt-as-you-move-through-the-world-lyrics,https://images.genius.com/5ae69e646152347b226adfe4227d4e11.1000x1000x1.jpg
3066181,BLUE EYES DEMO,,2017-04-25,,,,https://genius.com/Sean-leon-blue-eyes-demo-annotated,https://images.genius.com/8b5f3539df8a6e4af48070056c3ebf91.500x500x1.jpg
110497,Bonus,,,,Dream Land,,https://genius.com/Bigg-mark-bonus-lyrics,https://images.genius.com/b5ae309420c5baa09721dd081d316d76.500x500x1.jpg
425351,Boogie Down,,2005-08-30,,Time to Pretend EP ,,https://genius.com/Mgmt-boogie-down-lyrics,https://images.genius.com/65a8c7775010f99838ca393d9d193427.1000x1000x1.jpg
245353,Brian Eno,21971,2010-03-20,16,Congratulations ,,https://genius.com/Mgmt-brian-eno-lyrics,https://images.genius.com/23d86115a0fecbe08efa7c8806c8ee90.1000x1000x1.jpg
1284966,Brian Eno (Cornelius Mix),,2011-03-15,,Congratulations (Remixes),,https://genius.com/Mgmt-brian-eno-cornelius-mix-lyrics,https://images.genius.com/60fd34d1d7f8cb096069f73196180721.1000x1000x1.jpg
5312939,Brian Eno (Sonic Boom Remix),,,,,,https://genius.com/Mgmt-brian-eno-sonic-boom-remix-lyrics,https://images.genius.com/00008d686d3befdaf4818271a395b041.680x671x1.jpg
5047309,Bubblegum Dog,,,,,,https://genius.com/Mgmt-bubblegum-dog-lyrics,https://images.genius.com/3e3f3318d599016d599e076e5f743acb.944x944x1.jpg
121250,Call from the Bank (Ft. MGMT),20693,2010-12-01,2,The Marathon,,https://genius.com/Nipsey-hussle-call-from-the-bank-lyrics,https://images.genius.com/ffa9dd98b9dc6e743ed58e3af39e190e.640x640x1.jpg
3734937,Changes,219970,2018-05-25,51,TESTING,,https://genius.com/A-ap-rocky-changes-lyrics,https://images.genius.com/7d087f87cf7a92422074baec582cb4d2.1000x1000x1.png
52026,Congratulations,82170,2010-11-26,6,Congratulations ,,https://genius.com/Mgmt-congratulations-lyrics,https://images.genius.com/30717079d9c8ea5d7651498a0bffec47.1000x997x1.jpg
1822404,Congratulations (Erol Alkan Remix),,2011-03-15,,Congratulations (Remixes),,https://genius.com/Mgmt-congratulations-erol-alkan-remix-lyrics,https://images.genius.com/60fd34d1d7f8cb096069f73196180721.1000x1000x1.jpg
51149,Contradictory to Grown Ups,8631,,4,Webster’s Laboratory ,,https://genius.com/Chris-webby-contradictory-to-grown-ups-lyrics,https://images.genius.com/c907c8eb08c4542d0d30a4bdf7562ec8.864x864x1.jpg
179206,Cool Song No. 2,28283,2013-09-17,5,MGMT ,,https://genius.com/Mgmt-cool-song-no-2-lyrics,https://images.genius.com/0d677c721cbd56bb797f47e85d40cf2f.1000x1000x1.jpg
3441620,Days That Got Away,15856,2018-02-09,,Little Dark Age,,https://genius.com/Mgmt-days-that-got-away-lyrics,https://images.genius.com/3635fcea8f4dd0c2dfe81de0774f1b37.1000x1000x1.png
3994138,Days That Got Away (Matthew Dear Remix),,2018-09-28,,Little Dark Age (Matthew Dear Album Remix),,https://genius.com/Mgmt-days-that-got-away-matthew-dear-remix-lyrics,https://images.genius.com/a34a137c9d0c8c0ef65c31e8069f86c8.1000x1000x1.jpg
