id,title,views,release_date,user_interest,album_name,spotify_link,lyric_url,art_url
2270199,100 Grandkids,376964,2015-08-07,51,GO:OD AM ,,https://genius.com/Mac-miller-100-grandkids-lyrics,https://images.genius.com/f2c75e5f34f94ec77aa311b7e5f73226.1000x1000x1.jpg
523542,10 Pints (Ft. Ab-Soul & Mac Miller),,2014-09-22,5,NoDOZ,,https://genius.com/Fre-h-short-dawg-10-pints-lyrics,https://images.rapgenius.com/cb38a82b351f4376cf01d2fb33328056.500x350x1.jpg
461981,17 (Ft. Mac Miller),,2010-10-29,,,,https://genius.com/Jfk-17-lyrics,https://images.genius.com/e7b75cadce904f4e04af2fa76c9f8610.1000x1000x1.jpg
69522,1 Threw 8,99309,2012-03-23,8,Macadelic,,https://genius.com/Mac-miller-1-threw-8-lyrics,https://images.genius.com/18b93aa441589ba982c97a6f8d7e0ccf.1000x1000x1.jpg
7034404,2009,,2021-07-23,,,,https://genius.com/Trevor-hall-2009-lyrics,https://images.genius.com/fd117c4d2ed886d4ea3c5e2cc92342f3.1000x1000x1.png
4734764,2009,,2019-07-26,,Good Mmornin,,https://genius.com/Rayland-baxter-2009-lyrics,https://images.genius.com/04f8b8ea122c4d91935435dcb1dadec4.1000x1000x1.jpg
3835477,2009,822581,2018-08-03,68,Swimming,,https://genius.com/Mac-miller-2009-lyrics,https://images.genius.com/0327e4a856f14b2430e6e1a9333b1f1f.1000x1000x1.jpg
92107,"2012 BET Hip Hop Awards - Cypher 2 (Ft. Hopsin, Jaybird the Purdy Boi, Mac Miller & ScHoolboy Q)",26679,2012-10-09,3,BET Hip Hop Awards Cyphers (2007–Present),,https://genius.com/Bet-2012-bet-hip-hop-awards-cypher-2-lyrics,https://images.genius.com/c316a9129e7d68b7ee93c6deca20a3c7.400x400x1.jpg
151612,21 & Over (Ft. Mac Miller & Sean Price),14095,2013-05-13,8,Extended Play ,,https://genius.com/Statik-selektah-21-and-over-lyrics,https://images.genius.com/276f4502d91e3228cb8203a612295696.1000x1000x1.jpg
4905070,25/8,,,1,,,https://genius.com/Mac-miller-25-8-lyrics,https://images.genius.com/904f5ed20e5f3bbf5391f178c55c3d01.700x700x1.jpg
52061,3rd Dimension,9879,2011-04-20,2,Piff Jar,,https://genius.com/Mac-miller-3rd-dimension-lyrics,https://images.genius.com/9fd1805cf7829d047a5f0ea5ca4bc999.600x600x1.jpg
5389437,444,,,,,,https://genius.com/Mac-miller-444-lyrics,https://images.genius.com/904f5ed20e5f3bbf5391f178c55c3d01.700x700x1.jpg
201096,4:48 (Ft. Mac Miller),,2013-08-06,10,,,https://genius.com/Clockworkdj-4-48-lyrics,https://images.genius.com/f1e0bbd28fa4aba60a84bb891c5d8159.500x500x1.jpg
6773608,4 AM Off The Dome Freestyle,,2009-03-01,,,,https://genius.com/Mac-miller-4-am-off-the-dome-freestyle-lyrics,https://images.genius.com/904f5ed20e5f3bbf5391f178c55c3d01.700x700x1.jpg
426863,55,27895,2014-05-11,4,Faces,,https://genius.com/Mac-miller-55-lyrics,https://images.genius.com/13ce35ef8b892b61cbe71e14f5a9e8f2.1000x1000x1.jpg
170382,5 O'Clock (Ft. Boaz),,2009-12-16,,The High Life,,https://genius.com/Mac-miller-5-oclock-lyrics,https://images.genius.com/4186ee36b844bd7bbde71da3b370390b.500x500x1.jpg
2297706,6:30,16856,,2,,,https://genius.com/Mac-miller-6-30-lyrics,https://images.genius.com/904f5ed20e5f3bbf5391f178c55c3d01.700x700x1.jpg
