title,views
God's Plan,8916279.0
SICKO MODE (Ft. Drake),8789553.0
Work (Ft. Drake),7813832.0
"Fuckin' Problems (Ft. 2 Chainz, Drake & Kendrick Lamar)",7654950.0
In My Feelings,7313804.0
Hotline Bling,6782888.0
One Dance (Ft. Kyla & Wizkid),5928631.0
"Hold On, We're Going Home (Ft. Majid Jordan)",5430034.0
Know Yourself,5123526.0
Back to Back,4927250.0
"Father Stretch My Hands, Pt. 1",4530235.0
Poetic Justice (Ft. Drake),4444541.0
All Me (Ft. 2 Chainz & Big Sean),3973348.0
From Time (Ft. Jhené Aiko),3741200.0
Fake Love,3722424.0
0 to 100 / The Catch Up,3662733.0
The Motto (Ft. Lil Wayne),3477795.0
Pound Cake / Paris Morton Music 2 (Ft. JAY-Z),3460612.0
"Only (Ft. Chris Brown, Drake & Lil Wayne)",3425803.0
Started from the Bottom,3393690.0
Jumpman,3212868.0
Blessings (Ft. Drake & Kanye West),3165605.0
Marvin's Room,3074338.0
Marvin's Room,3074338.0
HYFR (Ft. Lil Wayne),3013762.0
Love Me (Ft. Drake & Future),2985644.0
Passionfruit,2905785.0
Nice For What,2896884.0
Versace (Remix) (Ft. Drake),2841690.0
Child's Play,2737656.0
Energy,2735150.0
Too Good (Ft. Rihanna),2678019.0
Furthest Thing,2627847.0
Jungle,2560285.0
Over My Dead Body,2476022.0
My Way (Remix) (Ft. Drake),2460353.0
Yes Indeed,2399997.0
Worst Behavior,2379021.0
Come and See Me (Ft. Drake),2373341.0
Truffle Butter (Ft. Drake & Lil Wayne),2345437.0
Summer Sixteen,2323867.0
The Language,2307945.0
Girls Love Beyoncé (Ft. James Fauntleroy),2246579.0
How Bout Now,2155377.0
Life Is Good (Ft. Drake),2138292.0
No Lie (Ft. Drake),2123038.0
Too Much,2120173.0
Shot for Me,2079360.0
Nonstop,2051862.0
Believe Me (Ft. Drake),2047032.0
Legend,2019575.0
Portland (Ft. Quavo & Travis Scott),2017026.0
Forever,1955513.0
Controlla,1935778.0
Gyalchester,1916131.0
Mine (Ft. Drake),1910251.0
U With Me?,1902662.0
Headlines,1889142.0
Recognize (Ft. Drake),1886179.0
I'm Upset,1860237.0
Own It (Ft. PARTYNEXTDOOR),1852044.0
For Free (Ft. Drake),1849007.0
Fire & Desire,1841719.0
Doing It Wrong,1821453.0
Crew Love (Ft. The Weeknd),1811558.0
Look What You've Done,1783875.0
Wu-Tang Forever,1782916.0
R.I.C.O. (Ft. Drake),1775855.0
Do Not Disturb,1774826.0
No Frauds,1772331.0
Teenage Fever,1753893.0
Stay Schemin' (Ft. Drake & French Montana),1748552.0
Anaconda,1742984.0
Take Care (Ft. Rihanna),1731313.0
"Pop That (Ft. Drake, Lil Wayne & Rick Ross)",1699297.0
Diced Pineapples (Ft. Drake & Wale),1698071.0
The Motion (Ft. Sampha),1681741.0
No Guidance (Ft. Drake),1670457.0
Free Smoke,1659116.0
Sneakin' (Ft. 21 Savage),1623948.0
Duppy Freestyle,1608680.0
Going Bad (Ft. Drake),1607040.0
Connect,1595082.0
Feel No Ways,1593117.0
Come Thru,1586521.0
Look Alive (Ft. Drake),1562925.0
Tuscan Leather,1545298.0
"No New Friends (Ft. Drake, Lil Wayne & Rick Ross)",1542983.0
6 God,1528385.0
Charged Up,1499149.0
Facts (Charlie Heat Version),1496948.0
Right Hand,1480142.0
Emotionless,1467531.0
5 AM in Toronto,1464640.0
All of the Lights,1457572.0
Best I Ever Had,1454460.0
Company (Ft. Travis Scott),1450299.0
Chicago Freestyle (Ft. GIVĒON),1446282.0
Walk It Talk It (Ft. Drake),1439509.0
10 Bands,1431738.0
Trophies,1417701.0
The Real Her (Ft. André 3000 & Lil Wayne),1369805.0
Toosie Slide,1363760.0
War,1313476.0
Money in the Grave (Ft. Rick Ross),1307957.0
Keep the Family Close,1300561.0
Diamonds Dancing,1296661.0
Days in the East,1293475.0
Where Ya At (Ft. Drake),1291401.0
9,1288939.0
Who Do You Love? (Ft. Drake),1285094.0
Blem,1284629.0
Signs,1276838.0
100 (Ft. Drake),1272547.0
Tuesday (Ft. Drake),1269400.0
Hate Sleeping Alone,1264818.0
Laugh Now Cry Later (Ft. Lil Durk),1256091.0
"I’m On One (Ft. Drake, Lil Wayne & Rick Ross)",1253749.0
KMT (Ft. Giggs),1223143.0
Only You Freestyle,1207463.0
The Zone (Ft. Drake),1201996.0
Views,1197454.0
Yikes,1194454.0
Redemption,1186464.0
Faithful (Ft. ​dvsn & Pimp C),1173535.0
Sacrifices (Ft. 2 Chainz & Young Thug),1169439.0
BedRock (Ft. Lloyd),1155660.0
MÍA (Ft. Drake),1152585.0
She Will (Ft. Drake),1152240.0
30 Hours,1147128.0
Star67,1126926.0
Wants and Needs (Ft. Lil Baby),1123725.0
6PM in New York,1121164.0
Both (Ft. Drake),1105358.0
Mob Ties,1094101.0
Under Ground Kings,1091896.0
GREECE (Ft. Drake),1062696.0
Big Rings,1059679.0
6 Man,1055847.0
Scholarships,1034007.0
Diplomatic Immunity,1032199.0
Preach (Ft. PARTYNEXTDOOR),1031048.0
Weston Road Flows,1030470.0
Cameras,1023621.0
With You (Ft. PARTYNEXTDOOR),1022402.0
Digital Dash,1017656.0
Trust Issues,1012179.0
No Tellin',1007537.0
305 to My City (Ft. Detail),1000295.0
Draft Day,996569.0
"Two Birds, One Stone",984637.0
Jaded,977808.0
Used To (Ft. Lil Wayne),975472.0
Pop Style,972403.0
Practice,972287.0
Drama (Ft. Drake),969061.0
POPSTAR (Ft. Drake),966944.0
Lord Knows (Ft. Rick Ross),962888.0
Odio (Ft. Drake),946835.0
Don't Matter to Me,943747.0
Pop Style (Single Version) (Ft. JAY-Z & Kanye West),917554.0
Used to This (Ft. Drake),917180.0
Miss Me (Ft. Lil Wayne),910659.0
4PM in Calabasas,905008.0
Amen (Ft. Drake),900671.0
Hype,895348.0
30 for 30 Freestyle,894077.0
Good Ones Go (Interlude),883333.0
In the Morning (Ft. Drake),870085.0
