title,views
HUMBLE.,10984935.0
"Fuckin' Problems (Ft. 2 Chainz, Drake & Kendrick Lamar)",7654922.0
​m.A.A.d city (Ft. MC Eiht),6749480.0
Swimming Pools (Drank),6068718.0
DNA.,5768193.0
Money Trees (Ft. Jay Rock),5423167.0
XXX. (Ft. U2),4995706.0
​goosebumps (Ft. Kendrick Lamar),4955816.0
"Bitch, Don't Kill My Vibe",4827161.0
Control (Ft. Jay Electronica & Kendrick Lamar),4649106.0
Poetic Justice (Ft. Drake),4444529.0
King Kunta,4417144.0
LOVE. (Ft. Zacari),3846155.0
Backseat Freestyle,3722942.0
Alright,3434446.0
Nights,2994315.0
The Blacker the Berry,2932621.0
"Sing About Me, I'm Dying of Thirst",2893353.0
King's Dead,2841448.0
ELEMENT.,2821024.0
LOYALTY. (Ft. Rihanna),2761319.0
Collard Greens (Ft. Kendrick Lamar),2668762.0
​i (Album Version),2456594.0
A.D.H.D,2240524.0
No More Parties in LA (Ft. Kendrick Lamar),2136293.0
"1Train (Ft. Action Bronson, Big K.R.I.T., Danny Brown, Joey Bada$$, Kendrick Lamar & Yelawolf)",2125789.0
Mona Lisa (Ft. Kendrick Lamar),2023695.0
All the Stars,2008253.0
FEAR.,1987883.0
Mortal Man,1855445.0
Wesley's Theory (Ft. George Clinton & Thundercat),1808134.0
​u,1757954.0
The Heart Part 4,1678453.0
PRIDE.,1658624.0
"All Day (Ft. Allan Kingdom, Paul McCartney & Theophilus London)",1630778.0
The Art of Peer Pressure,1629497.0
DUCKWORTH.,1600483.0
Rigamortis,1539438.0
HiiiPoWeR,1528102.0
How Much a Dollar Cost (Ft. James Fauntleroy & Ronald Isley),1520379.0
"Memories Back Then (Ft. B.o.B, Kendrick Lamar & Kris Stephens)",1517463.0
Black Friday,1500756.0
"These Walls (Ft. Anna Wise, Bilal & Thundercat)",1487636.0
Greatest,1477278.0
Sidewalks (Ft. Kendrick Lamar),1468544.0
Hood Politics,1374645.0
FEEL.,1368314.0
The Greatest (Ft. Kendrick Lamar),1341742.0
Sherane a.k.a Master Splinter's Daughter,1335331.0
The Recipe (Ft. Dr. Dre),1328198.0
LUST.,1317253.0
